Source title,CiteScore,Highest percentile,2018-21 Citations,2018-21 Documents,% Cited,SNIP,SJR,Publisher
"Psychology and Psychotherapy: Theory, Research and Practice",5.1,"91.0%
33/376
Arts and Humanities (miscellaneous)",958,187,80,1.693,1.205,Wiley-Blackwell
Behavioral Medicine,5,"74.0%
59/230
Applied Psychology",670,133,83,1.496,1.073,Taylor & Francis
Cognitive Research: Principles and Implications,5,"77.0%
34/150
Experimental and Cognitive Psychology",1198,240,67,1.841,1.029,Springer Nature
Cultural Diversity and Ethnic Minority Psychology,5,"92.0%
99/1345
Sociology and Political Science",964,193,75,2.345,1.249,APA
International Journal of Psychophysiology,5,"73.0%
18/65
Neuropsychology and Physiological Psychology",3232,648,78,1.077,0.902,Elsevier
International Journal of Testing,5,"89.0%
142/1406
Education",264,53,62,1.994,1.011,Taylor & Francis
Journal of Behavioral Medicine,5,"81.0%
39/209
General Psychology",1751,353,80,1.308,1.237,Springer Nature
Journal of Cross-Cultural Psychology,5,"98.0%
15/1127
Cultural Studies",1164,231,77,1.607,1.134,SAGE
Psychology of Addictive Behaviors,5,"82.0%
51/292
Clinical Psychology",1499,299,79,1.443,1.031,APA
"Anxiety, Stress and Coping",4.9,"90.0%
37/376
Arts and Humanities (miscellaneous)",1045,213,80,1.487,1.052,Taylor & Francis
Attachment and Human Development,4.9,"83.0%
58/341
Developmental and Educational Psychology",855,174,83,1.607,1.011,Taylor & Francis
Collabra: Psychology,4.9,"80.0%
40/209
General Psychology",800,162,62,1.85,1.398,University of California Press
Industrial and Organizational Psychology,4.9,"82.0%
53/296
Social Psychology",669,136,56,0.744,0.691,Cambridge University Press
Journal of Contextual Behavioral Science,4.9,"88.0%
38/323
Health (social science)",1459,300,74,1.45,1.272,Elsevier
Journal of Creative Behavior,4.9,"99.0%
5/584
Visual Arts and Performing Arts",1010,206,81,1.687,0.875,Wiley-Blackwell
Journal of Pediatric Psychology,4.9,"85.0%
44/298
Pediatrics, Perinatology and Child Health",2139,437,77,1.279,1.027,Oxford University Press
Journal of Psychosomatic Obstetrics and Gynaecology,4.9,"82.0%
53/292
Clinical Psychology",757,155,86,1.468,0.72,Taylor & Francis
Journal of Research in Personality,4.9,"82.0%
52/296
Social Psychology",1896,384,76,1.575,1.314,Elsevier
Psychology and Health,4.9,"79.0%
117/562
Public Health, Environmental and Occupational Health",1605,328,78,1.339,0.827,Taylor & Francis
Psychology and Marketing,4.9,"72.0%
63/230
Applied Psychology",2052,423,79,1.494,1.2,Wiley-Blackwell
Behavioural Neurology,4.8,"71.0%
19/65
Neuropsychology and Physiological Psychology",1170,244,64,1.31,0.697,Hindawi
Cognitive and Behavioral Practice,4.8,"81.0%
54/292
Clinical Psychology",904,188,74,1.187,0.749,Elsevier
Depression Research and Treatment,4.8,"81.0%
55/292
Clinical Psychology",262,55,62,1.228,0.884,Hindawi
Educational and Psychological Measurement,4.8,"89.0%
152/1406
Education",985,204,75,2.255,1.827,SAGE
European Journal of Psychology of Education,4.8,"88.0%
156/1406
Education",878,184,84,1.862,0.96,Springer Nature
Human Development,4.8,"81.0%
64/341
Developmental and Educational Psychology",379,79,75,2.341,1.197,Karger
Journal of Consumer Culture,4.8,"92.0%
107/1345
Sociology and Political Science",658,137,82,1.872,1.229,SAGE
Journal of Positive Behavior Interventions,4.8,"84.0%
47/298
Pediatrics, Perinatology and Child Health",400,83,76,2.441,1.339,SAGE
Journal of Research in Crime and Delinquency,4.8,"81.0%
55/296
Social Psychology",405,85,81,2.105,1.65,SAGE
American Behavioral Scientist,4.7,"98.0%
17/1127
Cultural Studies",1979,423,74,1.656,0.84,SAGE
Animal Cognition,4.7,"80.0%
137/687
Ecology, Evolution, Behavior and Systematics",1699,363,81,1.145,0.865,Springer Nature
Cognition and Emotion,4.7,"88.0%
44/376
Arts and Humanities (miscellaneous)",2583,551,78,1.384,1.121,Taylor & Francis
Current Addiction Reports,4.7,"80.0%
58/292
Clinical Psychology",978,210,76,1.115,0.908,Springer Nature
Family Process,4.7,"93.0%
28/426
Social Sciences (miscellaneous)",1568,336,76,2.075,1.155,Wiley-Blackwell
Feminism and Psychology,4.7,"95.0%
8/173
Gender Studies",475,101,75,2.05,1.026,SAGE
Games and Culture,4.7,"98.0%
16/1127
Cultural Studies",913,195,79,2.078,0.889,SAGE
Journal of Adolescent Research,4.7,"91.0%
116/1345
Sociology and Political Science",482,103,84,1.552,0.787,SAGE
Journal of Experimental Education,4.7,"88.0%
167/1406
Education",735,158,77,1.472,1,Taylor & Francis
Journal of Managerial Psychology,4.7,"80.0%
59/296
Social Psychology",695,149,71,1.308,1.218,Emerald Publishing
Journal of Substance Abuse Treatment,4.7,"88.0%
5/39
Psychiatric Mental Health",3360,708,71,1.449,1.228,Elsevier
Journal of the Association for Consumer Research,4.7,"81.0%
128/696
Economics and Econometrics",758,162,94,0.882,1.463,University of Chicago Press
Law and Human Behavior,4.7,"95.0%
36/801
Law",735,156,75,1.796,1.006,APA
Qualitative Research in Psychology,4.7,"80.0%
42/209
General Psychology",611,129,83,1.643,0.678,Taylor & Francis
School Psychology,4.7,"88.0%
161/1406
Education",968,204,72,1.971,1.025,APA
Social and Personality Psychology Compass,4.7,"81.0%
56/296
Social Psychology",998,212,74,1.924,1.627,Wiley-Blackwell
Social Indicators Research,4.7,"91.0%
115/1345
Sociology and Political Science",5490,1165,78,1.563,0.907,Springer Nature
Alzheimer Disease and Associated Disorders,4.6,"79.0%
60/292
Clinical Psychology",990,214,77,1.116,0.88,Wolters Kluwer Health
Chronic Stress,4.6,"79.0%
59/292
Clinical Psychology",390,84,70,0.759,0.816,SAGE
Clinical Psychology and Psychotherapy,4.6,"78.0%
62/292
Clinical Psychology",1634,358,78,1.539,1.096,Wiley-Blackwell
Cognitive Neuropsychology,4.6,"87.0%
48/376
Arts and Humanities (miscellaneous)",419,92,79,0.919,0.74,Taylor & Francis
European Journal of Psychological Assessment,4.6,"69.0%
70/230
Applied Psychology",1328,286,78,1.291,0.875,Hogrefe Publishing
Frontiers in Human Neuroscience,4.6,"70.0%
20/65
Neuropsychology and Physiological Psychology",10585,2309,66,1.249,0.859,Frontiers Media S.A.
Journal of the International Neuropsychological Society,4.6,"79.0%
61/292
Clinical Psychology",1773,385,81,1.39,0.837,Cambridge University Press
Personnel Review,4.6,"79.0%
45/213
Organizational Behavior and Human Resource Management",1766,380,82,1.399,0.891,Emerald Publishing
"Religion, Brain and Behavior",4.6,"99.0%
2/547
Religious Studies",367,79,70,1.509,1.011,Taylor & Francis
Self and Identity,4.6,"78.0%
45/209
General Psychology",841,184,86,1.56,1.014,Taylor & Francis
Aggressive Behavior,4.5,"86.0%
52/376
Arts and Humanities (miscellaneous)",1006,225,75,1.423,0.931,Wiley-Blackwell
Cognitive Science,4.5,"74.0%
39/150
Experimental and Cognitive Psychology",2161,482,71,1.592,1.202,Wiley-Blackwell
Journal of Homosexuality,4.5,"93.0%
12/173
Gender Studies",1815,407,79,1.825,0.781,Taylor & Francis
Journal of Interpersonal Violence,4.5,"78.0%
63/292
Clinical Psychology",7981,1764,86,2.529,0.908,SAGE
Journal of Psychoactive Drugs,4.5,"77.0%
48/209
General Psychology",977,219,74,0.99,0.651,Taylor & Francis
Learning Environments Research,4.5,"90.0%
46/467
Communication",443,99,81,2.231,0.95,Springer Nature
Motivation and Emotion,4.5,"79.0%
62/296
Social Psychology",1146,257,77,1.586,1.052,Springer Nature
Psychological Research,4.5,"86.0%
50/376
Arts and Humanities (miscellaneous)",2814,625,85,1.344,0.943,Springer Nature
Psychology of Religion and Spirituality,4.5,"99.0%
3/547
Religious Studies",716,159,90,2.014,0.914,APA
Research in Developmental Disabilities,4.5,"79.0%
72/341
Developmental and Educational Psychology",3220,712,75,1.54,0.796,Elsevier
Revista Iberoamericana de Psicologia y Salud,4.5,"77.0%
47/209
General Psychology",174,39,77,0.846,0.39,Elsevier
Small Group Research,4.5,"79.0%
61/296
Social Psychology",425,95,79,1.784,0.906,SAGE
Stress,4.5,"68.0%
166/529
Psychiatry and Mental Health",1460,321,76,0.931,0.728,Taylor & Francis
Archives of Suicide Research,4.4,"77.0%
65/292
Clinical Psychology",1039,234,83,1.086,0.808,Taylor & Francis
Behavior Modification,4.4,"84.0%
58/376
Arts and Humanities (miscellaneous)",693,158,83,1.499,0.71,SAGE
British Journal of Criminology,4.4,"94.0%
42/801
Law",1361,309,77,2.089,1.048,Oxford University Press
Death Studies,4.4,"86.0%
53/376
Arts and Humanities (miscellaneous)",1400,317,74,1.607,0.858,Taylor & Francis
Decision,4.4,"86.0%
21/152
Statistics, Probability and Uncertainty",338,77,70,1.322,1.059,APA
Health Psychology Open,4.4,"77.0%
67/292
Clinical Psychology",748,170,71,1.159,0.685,SAGE
Journal of Experimental Child Psychology,4.4,"77.0%
78/341
Developmental and Educational Psychology",3300,755,77,1.328,1.199,Elsevier
"Psychology, Health and Medicine",4.4,"76.0%
68/292
Clinical Psychology",2160,491,78,0.992,0.561,Taylor & Francis
Research on Aging,4.4,"83.0%
53/323
Health (social science)",649,148,81,1.518,0.883,SAGE
Ageing and Society,4.3,"83.0%
61/376
Arts and Humanities (miscellaneous)",2056,481,84,1.607,0.703,Cambridge University Press
Borderline Personality Disorder and Emotion Dysregulation,4.3,"76.0%
70/292
Clinical Psychology",389,90,79,1.681,1.243,Springer Nature
Child Maltreatment,4.3,"81.0%
55/298
Pediatrics, Perinatology and Child Health",725,169,84,1.566,0.923,SAGE
Human Movement Science,4.3,"76.0%
67/284
Orthopedics and Sports Medicine",2535,590,78,1.346,0.702,Elsevier
International Journal of Behavioral Development,4.3,"91.0%
38/426
Social Sciences (miscellaneous)",1064,245,79,1.327,1.002,SAGE
Journal of Clinical Psychology,4.3,"84.0%
59/376
Arts and Humanities (miscellaneous)",2763,645,71,1.574,1.156,Wiley-Blackwell
Journal of Consumer Behaviour,4.3,"76.0%
71/296
Social Psychology",1152,268,71,1.313,0.841,Wiley-Blackwell
Journal of Early Adolescence,4.3,"90.0%
39/426
Social Sciences (miscellaneous)",924,213,77,1.3,0.917,SAGE
Journal of Sex and Marital Therapy,4.3,"75.0%
72/292
Clinical Psychology",1059,248,71,1.23,0.699,Taylor & Francis
Journal of Trauma and Dissociation,4.3,"75.0%
73/292
Clinical Psychology",608,143,76,1.487,0.916,Taylor & Francis
Journal of Trust Research,4.3,"89.0%
142/1345
Sociology and Political Science",147,34,94,1.451,0.605,Taylor & Francis
Psychology of Men and Masculinity,4.3,"91.0%
15/173
Gender Studies",926,214,75,1.671,0.905,APA
Reading and Writing,4.3,"95.0%
47/1032
Linguistics and Language",1651,388,80,1.846,1.219,Springer Nature
Revista de Psicologia del Trabajo y de las Organizaciones,4.3,"76.0%
70/296
Social Psychology",379,88,80,1.246,0.804,Colegio Oficial de Psicólogos de Madrid
Scandinavian Journal of Management,4.3,"71.0%
130/456
Strategy and Management",417,97,71,1.461,0.971,Elsevier
Addiction science & clinical practice,4.2,"74.0%
74/292
Clinical Psychology",693,164,62,1.573,1.356,Springer Nature
Annals of Leisure Research,4.2,"97.0%
25/1127
Cultural Studies",537,129,83,1.126,0.476,Taylor & Francis
Brain and Language,4.2,"95.0%
43/968
Language and Linguistics",1171,281,75,1.108,0.888,Elsevier
Career Development Quarterly,4.2,"76.0%
50/209
General Psychology",446,106,74,1.699,0.948,Wiley-Blackwell
"Child: Care, Health and Development",4.2,"80.0%
59/298
Pediatrics, Perinatology and Child Health",1529,361,72,1.517,0.816,Wiley-Blackwell
Consciousness and Cognition,4.2,"75.0%
85/341
Developmental and Educational Psychology",2154,517,74,1.103,0.945,Elsevier
Cross-Cultural Research,4.2,"94.0%
23/443
Anthropology",341,81,84,1.467,0.714,SAGE
Ecological Psychology,4.2,"75.0%
56/231
General Computer Science",237,56,71,1.309,0.594,Taylor & Francis
Journal of Applied Research in Intellectual Disabilities,4.2,"86.0%
193/1406
Education",2207,529,76,1.533,0.928,Wiley-Blackwell
Journal of Experimental Psychology: Applied,4.2,"70.0%
45/150
Experimental and Cognitive Psychology",743,178,80,1.418,0.832,APA
Journal of Personality Disorders,4.2,"74.0%
75/292
Clinical Psychology",1095,263,78,1.208,1.019,Guilford Press
Journal of Research in Reading,4.2,"87.0%
8/61
Psychology (miscellaneous)",674,160,73,1.827,1.022,Wiley-Blackwell
"Language, Cognition and Neuroscience",4.2,"95.0%
41/968
Language and Linguistics",1418,334,76,1.31,1.043,Taylor & Francis
Psychological Services,4.2,"74.0%
76/292
Clinical Psychology",1043,251,81,1.378,0.733,APA
Psychology of Popular Media,4.2,"98.0%
23/1127
Cultural Studies",721,171,70,1.637,0.649,APA
Zeitschrift fur Psychologie / Journal of Psychology,4.2,"83.0%
63/376
Arts and Humanities (miscellaneous)",489,117,97,0.987,0.784,Johann Ambrosius Barth
ACM Transactions on Applied Perception,4.1,"74.0%
60/231
General Computer Science",296,72,75,0.928,0.491,ACM
Advances in Child Development and Behavior,4.1,"76.0%
69/298
Pediatrics, Perinatology and Child Health",297,73,73,1.317,0.999,Elsevier
American Journal of Orthopsychiatry,4.1,"84.0%
10/61
Psychology (miscellaneous)",1019,247,73,1.472,1.058,American Orthopsychiatric Association
British Journal of Mathematical and Statistical Psychology,4.1,"85.0%
36/250
Statistics and Probability",489,118,69,1.939,1.991,Wiley-Blackwell
Child Psychiatry and Human Development,4.1,"76.0%
69/298
Pediatrics, Perinatology and Child Health",1497,368,81,1.286,1.065,Springer Nature
Cognitive Therapy and Research,4.1,"73.0%
78/292
Clinical Psychology",1473,358,80,1.301,1.186,Springer Nature
Journal of Fluency Disorders,4.1,"96.0%
1/15
LPN and LVN",454,110,67,1.257,0.682,Elsevier
Journal of Loss and Trauma,4.1,"89.0%
45/426
Social Sciences (miscellaneous)",815,201,60,1.446,0.832,Taylor & Francis
Journal of Reproductive and Infant Psychology,4.1,"78.0%
66/298
Pediatrics, Perinatology and Child Health",663,160,83,1.308,0.8,Taylor & Francis
Journal of Social Psychology,4.1,"74.0%
76/296
Social Psychology",864,212,73,1.452,0.824,Taylor & Francis
Journal of the Academy of Consultation-Liaison Psychiatry,4.1,"73.0%
79/292
Clinical Psychology",1186,289,70,0.918,N/A,Elsevier
Legal and Criminological Psychology,4.1,"70.0%
58/193
Pathology and Forensic Medicine",259,63,84,1.41,0.518,Wiley-Blackwell
Nature and Science of Sleep,4.1,"64.0%
83/230
Applied Psychology",1489,362,57,1.534,0.973,Dove Medical Press
"Psychology, Public Policy, and Law",4.1,"93.0%
49/801
Law",529,128,74,2.052,0.872,APA
The Journal of Psychology,4.1,"85.0%
208/1406
Education",620,153,67,1.356,0.719,Taylor & Francis
American Journal of Alzheimer's Disease and other Dementias,4,"72.0%
81/292
Clinical Psychology",866,215,75,0.806,0.574,SAGE
Behavioral Disorders,4,"85.0%
210/1406
Education",299,74,78,2.399,1.359,SAGE
Brain and Cognition,4,"81.0%
71/376
Arts and Humanities (miscellaneous)",1437,358,72,1.114,0.808,Elsevier
Child Neuropsychology,4,"75.0%
75/298
Pediatrics, Perinatology and Child Health",957,241,76,1.23,0.698,Taylor & Francis
Frontiers in Psychology,4,"73.0%
55/209
General Psychology",59147,14927,62,1.605,0.873,Frontiers Media S.A.
Journal of Intelligence,4,"85.0%
209/1406
Education",611,151,74,1.395,0.877,Multidisciplinary Digital Publishing Institute (MDPI)
Journal of Professional Capital and Community,4,"87.0%
57/467
Communication",382,95,75,1.898,1.076,Emerald Publishing
Perspectives on Behavior Science,4,"73.0%
79/296
Social Psychology",507,128,70,1.49,0.767,Springer Nature
Psychopathology,4,"72.0%
82/292
Clinical Psychology",572,144,76,1.479,1.015,Karger
Translational Behavioral Medicine,4,"63.0%
85/230
Applied Psychology",2585,646,73,1.104,0.899,Springer Nature
American Journal on Addictions,3.9,"70.0%
88/292
Clinical Psychology",1055,272,58,1.166,1.125,Wiley-Blackwell
Applied Psychophysiology Biofeedback,3.9,"62.0%
86/230
Applied Psychology",514,131,75,1.001,0.507,Springer Nature
Archives of Clinical Neuropsychology,3.9,"70.0%
87/292
Clinical Psychology",1430,368,73,1.246,0.752,Elsevier
British Journal of Developmental Psychology,3.9,"71.0%
96/341
Developmental and Educational Psychology",620,161,78,1.404,0.949,Wiley-Blackwell
Canadian Psychology,3.9,"72.0%
57/209
General Psychology",534,137,74,1.289,0.777,Canadian Psychological Association
International Journal of Bullying Prevention,3.9,"87.0%
53/426
Social Sciences (miscellaneous)",293,75,81,1.55,0.823,Springer Nature
Journal of Applied Developmental Psychology,3.9,"72.0%
95/341
Developmental and Educational Psychology",1176,304,70,1.386,1.11,Elsevier
Journal of Behavior Therapy and Experimental Psychiatry,3.9,"80.0%
75/376
Arts and Humanities (miscellaneous)",1062,270,78,1.142,0.916,Elsevier
Journal of Behavioral Decision Making,3.9,"87.0%
169/1345
Sociology and Political Science",756,193,74,1.212,1.013,Wiley-Blackwell
Journal of Family Psychology,3.9,"72.0%
58/209
General Psychology",1481,380,73,1.492,1.062,APA
Judgment and Decision Making,3.9,"74.0%
175/696
Economics and Econometrics",968,251,71,1.157,0.983,Society for Judgment and Decision Making
Multisensory Research,3.9,"72.0%
34/124
Ophthalmology",545,141,70,0.722,0.48,Brill
Open Mind,3.9,"94.0%
60/1032
Linguistics and Language",59,15,87,1.36,1.084,MIT Press
Policy Insights from the Behavioral and Brain Sciences,3.9,"77.0%
43/190
Public Administration",442,113,75,1.13,0.853,SAGE
Psychology and Sexuality,3.9,"88.0%
21/173
Gender Studies",405,104,76,1.358,0.622,Taylor & Francis
"Psychology of Consciousness: Theory Research, and Practice",3.9,"73.0%
80/296
Social Psychology",359,91,79,1.161,0.586,APA
Psychology Research and Behavior Management,3.9,"73.0%
56/209
General Psychology",1789,457,64,1.44,0.807,Dove Medical Press
Rehabilitation Psychology,3.9,"82.0%
23/129
Rehabilitation",769,196,67,1.481,0.799,APA
Social Neuroscience,3.9,"80.0%
57/287
Development",887,230,73,0.778,0.681,Taylor & Francis
Applied neuropsychology. Adult,3.8,"71.0%
97/341
Developmental and Educational Psychology",1017,266,80,0.837,0.418,Taylor & Francis
Behavioral Sciences,3.8,"79.0%
58/287
Development",2463,643,67,1.118,0.571,Multidisciplinary Digital Publishing Institute (MDPI)
Creativity Research Journal,3.8,"98.0%
9/584
Visual Arts and Performing Arts",614,162,67,1.529,0.652,Taylor & Francis
European Journal of Developmental Psychology,3.8,"70.0%
101/341
Developmental and Educational Psychology",700,186,73,1.067,0.634,Taylor & Francis
Evaluation and Program Planning,3.8,"77.0%
165/747
Geography, Planning and Development",1569,413,75,1.142,0.55,Elsevier
Journal of Experimental Psychopathology,3.8,"69.0%
90/292
Clinical Psychology",307,81,68,1.229,0.796,SAGE
Journal of Social and Personal Relationships,3.8,"86.0%
63/467
Communication",2307,606,69,1.511,1.022,SAGE
Mediterranean Journal of Clinical Psychology,3.8,"69.0%
89/292
Clinical Psychology",856,225,56,0.601,0.393,University of Messina
Quarterly Journal of Experimental Psychology,3.8,"71.0%
61/209
General Psychology",2887,767,73,1.03,0.898,SAGE
Research in Human Development,3.8,"70.0%
100/341
Developmental and Educational Psychology",264,70,73,1.131,0.694,Taylor & Francis
Social Psychology,3.8,"86.0%
178/1345
Sociology and Political Science",485,126,68,1.462,1.23,Hogrefe Publishing
"Aging, Neuropsychology, and Cognition",3.7,"61.0%
59/150
Experimental and Cognitive Psychology",740,199,81,1.009,0.546,Taylor & Francis
BioPsychoSocial Medicine,3.7,"70.0%
63/209
General Psychology",375,102,70,1.026,0.601,Springer Nature
Counseling Psychologist,3.7,"61.0%
90/230
Applied Psychology",608,164,73,1.619,1.202,SAGE
Cyberpsychology,3.7,"86.0%
65/467
Communication",400,108,60,1.317,0.916,Masaryk University
Fashion and Textiles,3.7,"97.0%
34/1127
Cultural Studies",528,143,68,1.407,0.545,Springer Nature
International Journal of Art Therapy: Inscape,3.7,"80.0%
26/129
Rehabilitation",265,72,94,1.305,0.483,Taylor & Francis
Journal of Career Development,3.7,"81.0%
260/1406
Education",723,198,84,1.455,0.612,SAGE
Journal of Emotional and Behavioral Disorders,3.7,"82.0%
245/1406
Education",313,84,71,1.382,0.741,SAGE
Memory and Cognition,3.7,"78.0%
81/376
Arts and Humanities (miscellaneous)",1589,428,77,1.486,1.168,Springer Nature
Parenting,3.7,"82.0%
249/1406
Education",288,78,81,0.842,0.672,Taylor & Francis
Research in Autism Spectrum Disorders,3.7,"70.0%
102/341
Developmental and Educational Psychology",1618,432,70,1.243,0.895,Elsevier
Research on Social Work Practice,3.7,"85.0%
198/1345
Sociology and Political Science",1127,307,72,1.364,0.674,SAGE
School Mental Health,3.7,"82.0%
246/1406
Education",815,219,77,1.408,0.899,Springer Nature
School Psychology Review,3.7,"82.0%
247/1406
Education",493,133,88,1.272,0.731,Taylor & Francis
Social Psychology of Education,3.7,"85.0%
195/1345
Sociology and Political Science",956,260,69,1.418,0.946,Springer Nature
Social Science Journal,3.7,"86.0%
187/1345
Sociology and Political Science",660,177,75,0.778,0.369,Taylor & Francis
The Journal of Black Psychology,3.7,"93.0%
31/443
Anthropology",375,102,62,1.905,1.082,SAGE
Anales de Psicologia,3.6,"68.0%
67/209
General Psychology",885,245,71,1.134,0.551,Secretariado de Publicaciones e Intercambio Cientifico
Australian Journal of Psychology,3.6,"68.0%
66/209
General Psychology",609,167,72,1.208,0.674,Taylor & Francis
Behavioral Sciences of Terrorism and Political Aggression,3.6,"89.0%
66/608
Political Science and International Relations",216,60,77,1.002,0.297,Taylor & Francis
Behavioural and Cognitive Psychotherapy,3.6,"67.0%
96/292
Clinical Psychology",782,218,73,1.019,0.781,Cambridge University Press
Body and Society,3.6,"96.0%
36/1127
Cultural Studies",251,69,75,2.879,0.851,SAGE
Children's Geographies,3.6,"84.0%
207/1345
Sociology and Political Science",786,220,76,1.547,0.687,Taylor & Francis
Counselling Psychology Quarterly,3.6,"66.0%
97/292
Clinical Psychology",493,138,80,1.151,0.733,Taylor & Francis
International Gambling Studies,3.6,"59.0%
94/230
Applied Psychology",413,115,77,1.027,0.461,Taylor & Francis
Journal of Clinical and Experimental Neuropsychology,3.6,"67.0%
95/292
Clinical Psychology",1215,336,69,0.973,0.568,Taylor & Francis
Journal of Community and Applied Social Psychology,3.6,"84.0%
203/1345
Sociology and Political Science",589,162,77,1.589,0.886,Wiley-Blackwell
Journal of Economic Psychology,3.6,"84.0%
208/1345
Sociology and Political Science",908,255,75,1.468,1.179,Elsevier
Journal of Intellectual and Developmental Disability,3.6,"80.0%
272/1406
Education",617,173,78,1.253,0.643,Taylor & Francis
Journal of Media Psychology,3.6,"85.0%
68/467
Communication",295,82,77,1.216,0.839,Hogrefe Publishing
Language and Cognition,3.6,"94.0%
56/968
Language and Linguistics",308,85,73,1.583,0.826,Cambridge University Press
Monographs of the Society for Research in Child Development,3.6,"68.0%
109/341
Developmental and Educational Psychology",123,34,59,1.788,0.813,Wiley-Blackwell
New Ideas in Psychology,3.6,"81.0%
12/61
Psychology (miscellaneous)",458,129,69,1.431,0.827,Elsevier
Palliative and Supportive Care,3.6,"86.0%
17/123
General Nursing",1296,356,69,1.223,0.724,Cambridge University Press
Adaptive Behavior,3.5,"96.0%
25/718
Philosophy",406,117,74,1.11,0.416,SAGE
AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV,3.5,"73.0%
85/323
Health (social science)",3323,944,77,0.884,0.835,Taylor & Francis
American Journal of Speech-Language Pathology,3.5,"93.0%
70/1032
Linguistics and Language",2025,582,70,1.867,1.053,American Speech-Language-Hearing Association
Consumption Markets and Culture,3.5,"92.0%
34/443
Anthropology",445,128,73,1.272,1.383,Taylor & Francis
Developmental Psychobiology,3.5,"66.0%
113/341
Developmental and Educational Psychology",1752,500,67,0.967,0.762,Wiley-Blackwell
European Journal of Special Needs Education,3.5,"89.0%
4/34
Health Professions (miscellaneous)",715,203,78,1.646,0.619,Taylor & Francis
International Journal of Behavioral Medicine,3.5,"57.0%
98/230
Applied Psychology",1027,291,74,1.061,0.684,Springer Nature
International Review of Social Psychology,3.5,"66.0%
101/296
Social Psychology",247,70,59,1.913,1.153,Ubiquity Press
Journal of Child and Family Studies,3.5,"67.0%
110/341
Developmental and Educational Psychology",4139,1173,71,1.299,0.842,Springer Nature
Journal of Counseling and Development,3.5,"58.0%
97/230
Applied Psychology",558,158,77,1.487,0.801,Wiley-Blackwell
Journal of Gay and Lesbian Mental Health,3.5,"74.0%
84/323
Health (social science)",289,82,62,1.15,0.711,Taylor & Francis
Journal of the Experimental Analysis of Behavior,3.5,"58.0%
63/150
Experimental and Cognitive Psychology",914,264,70,1.21,0.924,Wiley-Blackwell
Psychometrika,3.5,"73.0%
155/590
Applied Mathematics",646,182,69,1.768,1.867,Springer Nature
Scandinavian Journal of Psychology,3.5,"77.0%
85/376
Arts and Humanities (miscellaneous)",1175,333,69,1.118,0.727,Wiley-Blackwell
Social Development,3.5,"84.0%
214/1345
Sociology and Political Science",911,260,78,1.146,0.96,Wiley-Blackwell
Autism in Adulthood,3.4,"65.0%
118/341
Developmental and Educational Psychology",58,17,35,1.612,N/A,Mary Ann Liebert
Child Indicators Research,3.4,"83.0%
219/1345
Sociology and Political Science",1446,420,75,1.079,0.725,Springer Nature
Cognitive Development,3.4,"66.0%
116/341
Developmental and Educational Psychology",1208,351,61,1.187,0.949,Elsevier
Current Psychology,3.4,"64.0%
75/209
General Psychology",3693,1092,76,0.936,0.513,Springer Nature
Discourse Studies,3.4,"93.0%
64/968
Language and Linguistics",431,127,65,1.709,1.39,SAGE
Eating Behaviors,3.4,"66.0%
99/292
Clinical Psychology",1081,314,70,1.058,0.692,Elsevier
Ethics and Behavior,3.4,"65.0%
73/209
General Psychology",508,148,76,1.258,0.44,Taylor & Francis
Homicide Studies,3.4,"91.0%
67/801
Law",238,70,76,1.781,0.804,SAGE
International Journal of Intercultural Relations,3.4,"83.0%
228/1345
Sociology and Political Science",1105,326,67,1.713,0.833,Elsevier
International Journal of Psychology,3.4,"76.0%
89/376
Arts and Humanities (miscellaneous)",1320,394,77,1.072,0.643,Wiley-Blackwell
Iranian Journal of Medical Sciences,3.4,"78.0%
7/30
Pharmacology, Toxicology and Pharmaceutics (miscellaneous)",864,252,71,0.971,0.392,Shiraz University of Medical Sciences
Journal of Applied Behavior Analysis,3.4,"96.0%
26/718
Philosophy",1385,402,76,1.731,0.823,Wiley-Blackwell
Journal of experimental psychology. Animal learning and cognition,3.4,"66.0%
232/687
Ecology, Evolution, Behavior and Systematics",428,126,82,0.975,0.653,APA
Journal of Language Evolution,3.4,"92.0%
77/1032
Linguistics and Language",134,40,78,1.253,0.815,Oxford University Press
Journal of Mathematical Psychology,3.4,"72.0%
164/590
Applied Mathematics",718,212,67,1.18,0.755,Elsevier
Memory,3.4,"77.0%
86/376
Arts and Humanities (miscellaneous)",1591,463,73,1.157,0.828,Taylor & Francis
Musicae Scientiae,3.4,"98.0%
3/153
Music",360,107,78,1.21,0.574,SAGE
New Directions for Child and Adolescent Development,3.4,"65.0%
117/341
Developmental and Educational Psychology",579,169,94,0.939,0.691,Wiley-Blackwell
Psychology of Music,3.4,"99.0%
2/153
Music",959,280,78,1.828,0.823,SAGE
School Psychology International,3.4,"78.0%
307/1406
Education",444,132,69,1.439,0.771,SAGE
The Journal of Applied Behavioral Science,3.4,"56.0%
100/230
Applied Psychology",354,104,65,1.325,0.81,SAGE
Aphasiology,3.3,"92.0%
71/968
Language and Linguistics",943,288,77,1.109,0.644,Taylor & Francis
Central Nervous System Agents in Medicinal Chemistry,3.3,"46.0%
35/65
Neuropsychology and Physiological Psychology",264,79,56,0.508,0.367,Bentham
Childhood,3.3,"62.0%
128/341
Developmental and Educational Psychology",423,130,65,1.934,0.814,SAGE
