PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	C1	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	WC	UT	PM
J	Sun, Jintao; Gao, Yuan; Miao, Ailiang; Yu, Chuanyong; Tang, Lu; Huang, Shuyang; Wu, Caiyun; Shi, Qi; Zhang, Tingting; Li, Yihan; Sun, Yulei; Wang, Xiaoshan								Multifrequency Dynamics of Cortical Neuromagnetic Activity Underlying Seizure Termination in Absence Epilepsy								FRONTIERS IN HUMAN NEUROSCIENCE				14						221	10.3389/fnhum.2020.00221			JUN 26 2020	2020	Purpose This study aimed to investigate the spectral and spatial signatures of neuromagnetic activity underlying the termination of absence seizures. Methods Magnetoencephalography (MEG) data were recorded from 18 drug-naive patients with childhood absence epilepsy (CAE). Accumulated source imaging (ASI) was used to analyze MEG data at the source level in seven frequency ranges: delta (1-4 Hz), theta (4-8 Hz), alpha (8-12 Hz), beta (12-30 Hz), gamma (30-80 Hz), ripple (80-250 Hz), and fast ripple (250-500 Hz). Result In the 1-4, 4-8, and 8-12 Hz ranges, the magnetic source during seizure termination appeared to be consistent over the ictal period and was mainly localized in the frontal cortex (FC) and parieto-occipito-temporal junction (POT). In the 12-30 and 30-80 Hz ranges, a significant reduction in source activity was observed in the frontal lobe during seizure termination as well as a decrease in peak source strength. The ictal peak source strength in the 1-4 Hz range was negatively correlated with the ictal duration of the seizure, whereas in the 30-80 Hz range, it was positively correlated with the course of epilepsy. Conclusion The termination of absence seizures is associated with a dynamic neuromagnetic process. Frequency-dependent changes in the FC were observed during seizure termination, which may be involved in the process of neural network interaction. Neuromagnetic activity in different frequency bands may play different roles in the pathophysiological mechanism during absence seizures.		[Sun, Jintao; Gao, Yuan; Miao, Ailiang; Yu, Chuanyong; Tang, Lu; Huang, Shuyang; Wu, Caiyun; Shi, Qi; Zhang, Tingting; Li, Yihan; Sun, Yulei; Wang, Xiaoshan] Nanjing Med Univ, Affiliated Brain Hosp, Dept Neurol, Nanjing, Peoples R China; [Wang, Xiaoshan] Nanjing Med Univ, Affiliated Brain Hosp, Dept Neurol, Nanjing, Peoples R China								8							Neurosciences; Psychology	WOS:000551817700001		
J	Tseng, Shih-Chiao; Chang, Shuo-Hsiu; Hoerth, Kristine M.; Nguyen, Anh-Tu A.; Perales, Daniel								Anodal Transcranial Direct Current Stimulation Enhances Retention of Visuomotor Stepping Skills in Healthy Adults								FRONTIERS IN HUMAN NEUROSCIENCE				14						251	10.3389/fnhum.2020.00251			JUN 26 2020	2020	Transcranial direct current stimulation (tDCS) paired with exercise training can enhance learning and retention of hand tasks; however, there have been few investigations of the effects of tDCS on leg skill improvements. The purpose of this study was to investigate whether tDCS paired with visuomotor step training can promote skill learning and retention. We hypothesized that pairing step training with anodal tDCS would improve skill learning and retention, evidenced by decreased step reaction times (RTs), both immediately (online skill gains) and 30 min after training (offline skill gains). Twenty healthy adults were randomly assigned to one of two groups, in which 20-min anodal or sham tDCS was applied to the lower limb motor cortex and paired with visuomotor step training. Step RTs were determined across three time points: (1) before brain stimulation (baseline); (2) immediately after brain stimulation (P0); and (3) 30 min after brain stimulation (P3). A continuous decline in RT was observed in the anodal tDCS group at both P0 and P3, with a significant decrease in RT at P3; whereas there were no improvements in RT at P0 and P3 in the sham group. These findings do not support our hypothesis that anodal tDCS enhances online learning, as RT was not decreased significantly immediately after stimulation. Nevertheless, the results indicate that anodal tDCS enhances offline learning, as RT was significantly decreased 30 min after stimulation, likely because of tDCS-induced neural modulation of cortical and subcortical excitability, synaptic efficacy, and spinal neuronal activity.		[Tseng, Shih-Chiao; Hoerth, Kristine M.; Nguyen, Anh-Tu A.; Perales, Daniel] Texas Womans Univ, Sch Phys Therapy, Neurosci Lab, Houston, TX 77030 USA; [Chang, Shuo-Hsiu] Univ Texas Hlth Sci Ctr Houston, Dept Phys Med & Rehabil, Motor Recovery Lab, Houston, TX 77030 USA; [Tseng, Shih-Chiao] Texas Womans Univ, Sch Phys Therapy, Neurosci Lab, Houston, TX 77030 USA								3							Neurosciences; Psychology	WOS:000551822700001		
J	Wank, Aubrey A.; Mehl, Matthias R.; Andrews-Hanna, Jessica R.; Polsinelli, Angelina J.; Moseley, Suzanne; Glisky, Elizabeth L.; Grilli, Matthew D.								Eavesdropping on Autobiographical Memory: A Naturalistic Observation Study of Older Adults' Memory Sharing in Daily Conversations								FRONTIERS IN HUMAN NEUROSCIENCE				14						238	10.3389/fnhum.2020.00238			JUN 26 2020	2020	The retrieval of autobiographical memories is an integral part of everyday social interactions. Prior laboratory research has revealed that older age is associated with a reduction in the retrieval of autobiographical episodic memories, and the ability to elaborate these memories with episodic details. However, how age-related reductions in episodic specificity unfold in everyday social contexts remains largely unknown. Also, constraints of the laboratory-based approach have limited our understanding of how autobiographical semantic memory is linked to older age. To address these gaps in knowledge, we used a smartphone application known as the Electronically Activated Recorder, or "EAR," to unobtrusively capture real-world conversations over 4 days. In a sample of 102 cognitively normal older adults, we extracted instances where memories and future thoughts were shared by the participants, and we scored the shared episodic memories and future thoughts for their make-up of episodic and semantic detail. We found that older age was associated with a reduction in real-world sharing of autobiographical episodic and semantic memories. We also found that older age was linked to less episodically and semantically detailed descriptions of autobiographical episodic memories. Frequency and level of detail of shared future thoughts yielded weaker relationships with age, which may be related to the low frequency of future thoughts in general. Similar to laboratory research, there was no correlation between autobiographical episodic detail sharing and a standard episodic memory test. However, in contrast to laboratory studies, episodic detail production while sharing autobiographical episodic memories was weakly related to episodic detail production while describing future events, unrelated to working memory, and not different between men and women. Overall, our findings provide novel evidence of how older age relates to episodic specificity when autobiographical memories are assessed unobtrusively and objectively "in the wild."		[Wank, Aubrey A.; Grilli, Matthew D.] Univ Arizona, Dept Psychol, Human Memory Lab, Tucson, AZ 85721 USA; [Mehl, Matthias R.] Univ Arizona, Dept Psychol, Naturalist Observat Social Interact Lab, Tucson, AZ 85721 USA; [Andrews-Hanna, Jessica R.] Univ Arizona, Dept Psychol, Neurosci Emot & Thought Lab, Tucson, AZ 85721 USA; [Andrews-Hanna, Jessica R.; Grilli, Matthew D.] Univ Arizona, Evelyn F McKnight Brain Inst, Tucson, AZ 85721 USA; [Andrews-Hanna, Jessica R.] Univ Arizona, Dept Philosophy, Cognit Sci Program, Tucson, AZ USA; [Polsinelli, Angelina J.] Indiana Univ Sch Med, Dept Neurol, Indianapolis, IN 46202 USA; [Moseley, Suzanne] Minnesota Epilepsy Grp, St Paul, MN USA; [Glisky, Elizabeth L.] Univ Arizona, Dept Psychol, Aging & Cognit Lab, Tucson, AZ 85721 USA; [Grilli, Matthew D.] Univ Arizona, Dept Neurol, Tucson, AZ 85721 USA; [Wank, Aubrey A.; Grilli, Matthew D.] Univ Arizona, Dept Psychol, Human Memory Lab, Tucson, AZ 85721 USA; [Grilli, Matthew D.] Univ Arizona, Evelyn F McKnight Brain Inst, Tucson, AZ 85721 USA; [Grilli, Matthew D.] Univ Arizona, Dept Neurol, Tucson, AZ 85721 USA								8							Neurosciences; Psychology	WOS:000551821300001		
J	Saluja, Sabir; Barbosa, Daniel A. N.; Parker, Jonathon J.; Huang, Yuhao; Jensen, Michael R.; Ngo, Vyvian; Santini, Veronica E.; Pauly, Kim Butts; Ghanouni, Pejman; McNab, Jennifer A.; Halpern, Casey H.								Case Report on Deep Brain Stimulation Rescue After Suboptimal MR-Guided Focused Ultrasound Thalamotomy for Essential Tremor: A Tractography-Based Investigation								FRONTIERS IN HUMAN NEUROSCIENCE				14						191	10.3389/fnhum.2020.00191			JUN 26 2020	2020	Essential tremor (ET) is the most prevalent movement disorder in adults, and can often be medically refractory, requiring surgical intervention. MRI-guided focused ultrasound (MRgFUS) is a less invasive procedure that uses ultrasonic waves to induce lesions in the ventralis intermedius nucleus (VIM) to treat refractory ET. As with all procedures for treating ET, optimal targeting during MRgFUS is essential for efficacy and durability. Various studies have reported cases of tremor recurrence following MRgFUS and long-term outcome data is limited to 3-4 years. We present a tractography-based investigation on a case of DBS rescue for medically refractory ET that was treated with MRgFUS that was interrupted due to the development of dysarthria during the procedure. After initial improvement, her hand tremor started to recur within 6 months after treatment, and bilateral DBS was performed targeting the VIM 24 months after MRgFUS. DBS induced long-term tremor control with monopolar stimulation. Diffusion MRI tractography was used to reconstruct the dentatorubrothalamic (DRTT) and corticothalmic (CTT) tracts being modulated by the procedures to understand the variability in efficacy between MRgFUS and DBS in treating ET in our patient. By comparing the MRgFUS lesion and DBS volume of activated tissue (VAT), we found that the MRgFUS lesion was located ventromedially to the VAT, and was less than 10% of the size of the VAT. While the lesion encompassed the same proportion of DRTT streamlines, it encompassed fewer CTT streamlines than the VAT. Our findings indicate the need for further investigation of targeting the CTT when using neuromodulatory procedures to treat refractory ET for more permanent tremor relief.		[Saluja, Sabir; Barbosa, Daniel A. N.; Parker, Jonathon J.; Huang, Yuhao; Jensen, Michael R.; Ngo, Vyvian; Halpern, Casey H.] Stanford Univ, Sch Med, Dept Neurosurg, Stanford, CA 94305 USA; [Santini, Veronica E.] Stanford Univ, Sch Med, Dept Neurol & Neurol Sci, Stanford, CA 94305 USA; [Pauly, Kim Butts; Ghanouni, Pejman; McNab, Jennifer A.] Stanford Univ, Sch Med, Dept Radiol, Stanford, CA 94305 USA; [Halpern, Casey H.] Stanford Univ, Sch Med, Dept Neurosurg, Stanford, CA 94305 USA								6							Neurosciences; Psychology	WOS:000551826500001		
J	Young, David R.; Parikh, Pranav J.; Layne, Charles S.								Non-invasive Brain Stimulation of the Posterior Parietal Cortex Alters Postural Adaptation								FRONTIERS IN HUMAN NEUROSCIENCE				14						248	10.3389/fnhum.2020.00248			JUN 26 2020	2020	Effective central sensory integration of visual, vestibular, and proprioceptive information is required to promote adaptability in response to changes in the environment during postural control. Patients with a lesion in the posterior parietal cortex (PPC) have an impaired ability to form an internal representation of body position, an important factor for postural control and adaptation. Suppression of PPC excitability has also been shown to decrease postural stability in some contexts. As of yet, it is unknown whether stimulation of the PPC may influence postural adaptation. This investigation aimed to identify whether transcranial direct current stimulation (tDCS) of the bilateral PPC could modulate postural adaptation in response to a bipedal incline postural adaptation task. Using young, healthy subjects, we delivered tDCS over bilateral PPC followed by bouts of inclined stance (incline-interventions). Analysis of postural after-effects identified differences between stimulation conditions for maximum lean after-effect (LAE;p= 0.005) as well as a significant interaction between condition and measurement period for the average position (p= 0.03). We identified impaired postural adaptability following both active stimulation conditions. Results reinforce the notion that the PPC is involved in motor adaptation and extend this line of research to the realm of standing posture. The results further highlight the role of the bilateral PPC in utilizing sensory feedback to update one's internal representation of verticality and demonstrates the diffuse regions of the brain that are involved in postural control and adaptation. This information improves our understanding of the role of the cortex in postural control, highlighting the potential for the PPC as a target for sensorimotor rehabilitation.		[Young, David R.; Parikh, Pranav J.; Layne, Charles S.] Univ Houston, Dept Hlth & Human Performance, Ctr Neuromotor & Biomech Res, Houston, TX 77004 USA; [Layne, Charles S.] Univ Houston, Ctr Neuroengn & Cognit Sci, Houston, TX USA; [Young, David R.] Univ Houston, Dept Hlth & Human Performance, Ctr Neuromotor & Biomech Res, Houston, TX 77004 USA								6							Neurosciences; Psychology	WOS:000551824100001		
J	Jesmin, Syeda S.; Amin, Iftekhar								Diseases of Despair and Social Capital: Findings from a Population-Based Survey on Opioid Misuse among Adolescents								SUBSTANCE USE & MISUSE				55	12			1993	2001		10.1080/10826084.2020.1784949			SEP 1 2020	2020	Background:Deaths related to opioid overdose have increased substantially in the past few years, raising concerns about how to combat this public health emergency.Objectives:We investigated the association of family, school, and community social capital with opioid misuse in the adolescent population. In addition, we examined if adolescents' depressive symptoms have any mediating effects on opioid misuse.Methods:We used the 2018 National Survey on Drug Use and Health (NSDUH) data, and two substantive models with binary logistic regressions. Three social capital variables were added to the full model with control for sociodemographic and health status variables. A mediation analysis was estimated for family and school social capital, major depressive episodes in the past year, and opioid misuse.Results:We found statistically significant relationships between adolescent opioid misuse and family and school social capital. Adolescents' odds of opioid misuse decreased 10% with each additional family situation where they felt supported. Not knowing students in their grade who drank alcohol or used marijuana/hashish decreased the odds of misusing opioids 42% (p< .01). Experience of depressive episodes acted as a mediator for the social capital effects on adolescents' opioid misuse.Conclusions:Our findings lend support that opioid misuse is associated with despair, and therefore, opioid prevention programs need to incorporate strategies to address mental health issues as well. Our findings also underscore the need for focusing on increasing parental awareness and involvement as well as scaling up prevention efforts in high schools where substance abuse is relatively higher.		[Jesmin, Syeda S.] Univ North Texas Dallas, Dept Sociol, 7400 Univ Hills Blvd, Dallas, TX 75241 USA; [Amin, Iftekhar] Univ North Texas Dallas, Dept Counseling & Human Serv, Dallas, TX USA; [Jesmin, Syeda S.] Univ North Texas Dallas, Dept Sociol, 7400 Univ Hills Blvd, Dallas, TX 75241 USA								8							Substance Abuse; Psychiatry; Psychology	WOS:000549505200001		
J	Graff, Heidi Jeannet; Deleu, Nicole W.; Christiansen, Peter; Rytter, Hana Mala								Facilitators of and barriers to return to work after mild traumatic brain injury: A thematic analysis								NEUROPSYCHOLOGICAL REHABILITATION				31	9			1349	1373		10.1080/09602011.2020.1778489			OCT 21 2021	2021	Individuals with mild traumatic brain injury (mTBI) may experience protracted symptoms affecting their ability to work. Several actors may facilitate or act as a barrier to a successful return to work (RTW). This qualitative study used semi-structured in-depth interviews with 22 adults with mTBI at 2-5 years post injury, targeting experiences of how different actors facilitated or acted as a barrier in the RTW process, and encompassed the mTBI trajectory from the acute phase to the post-acute phase. A thematic analysis with a hermeneutical phenomenological approach was used to analyse data. Three main themes emerged. (1) Worker-employer relationship: Workplace accommodations such as decreased working hours, modified working conditions, and support from co-workers were lacking. (2) The role of the general practitioner: The general practitioner was lacking treatment and referral opportunities and failed to provide the patient with relevant and individualized guidance. (3) Municipal case management: Participants perceived being met with distrust by social workers, follow-up assessments were too frequent, unnecessary, and did not target concussion, and rehabilitation was referred too late. Clinical practice guidelines to improve referral to relevant concussion rehabilitation in case of persistent symptoms are needed to inform clinicians, employers, and public institutions to facilitate a successful RTW.		[Graff, Heidi Jeannet] Copenhagen Univ Hosp, Univ Hosp, Ctr Head & Orthopaed, Dept Anaesthesia,Rigshosp, Copenhagen, Denmark; [Graff, Heidi Jeannet; Rytter, Hana Mala] Danish Concuss Ctr, Amagerfaelledvej 56A, DK-2300 Copenhagen, Denmark; [Deleu, Nicole W.; Christiansen, Peter] Ctr Rehabil Brain Injury, Copenhagen, Denmark; [Rytter, Hana Mala] Univ Copenhagen, Dept Psychol, Copenhagen, Denmark; [Rytter, Hana Mala] Univ Hosp Bispebjerg Frederiksberg, Dept Neurol, Copenhagen, Denmark; [Graff, Heidi Jeannet] Danish Concuss Ctr, Amagerfaelledvej 56A, DK-2300 Copenhagen, Denmark								6							Neurosciences; Psychology	WOS:000550012100001		
J	Workman, Craig David; Fietsam, Alexandra C.; Rudroff, Thorsten								Different Effects of 2 mA and 4 mA Transcranial Direct Current Stimulation on Muscle Activity and Torque in a Maximal Isokinetic Fatigue Task								FRONTIERS IN HUMAN NEUROSCIENCE				14						240	10.3389/fnhum.2020.00240			JUN 25 2020	2020	Studies investigating the effects of transcranial direct current stimulation (tDCS) on fatigue and muscle activity have elicited measurable improvements using stimulation intensities <= 2 mA and submaximal effort tasks. The purpose of this study was to determine the effects of 2 mA and 4 mA anodal tDCS over the primary motor cortex (M1) on performance fatigability and electromyographic (EMG) activity of the leg muscles during a maximal isokinetic task in healthy young adults. A double-blind, randomized, sham-controlled crossover study design was applied. Twenty-seven active young adults completed four sessions, each spaced by 5-8 days. During session 1, dominance was verified with isokinetic strength testing, and subjects were familiarized with the fatigue task (FT). The FT protocol included 40 continuous maximum isokinetic contractions of the knee extensors and flexors (120 degrees/s, concentric/concentric). During Sessions 2-4, tDCS was applied for 20 min with one of three randomly assigned intensities (sham, 2 mA or 4 mA) and the FT was repeated. The anode and cathode of the tDCS device were placed over C3 and the contralateral supraorbital area, respectively. A wireless EMG system collected muscle activity during the FT. The 2 mA tDCS condition had significantly less torque (65.9 +/- 32.7 Nm) during the FT than both the sham (68.4 +/- 33.9 Nm,p< 0.001) and 4 mA conditions (68.4 +/- 33.9 Nm,p= 0.001). Furthermore, the 2 mA condition (33.8 +/- 11.7%) had significantly less EMG activity during the FT than both the sham (39.7 +/- 10.6%,p< 0.001) and 4 mA conditions (40.5 +/- 13.4%,p= 0.001). Contrary to previous submaximal isometric fatigue investigations, the 2 mA tDCS condition significantly reduced torque production and EMG activity of the leg extensors during a maximal isokinetic FT compared with the sham and 4 mA conditions. Also, torque production and EMG activity in the 4 mA condition were not significantly different from sham. Thus, the effects of tDCS, and the underlying mechanisms, might not be the same for different tasks and warrants more investigation.		[Workman, Craig David; Fietsam, Alexandra C.; Rudroff, Thorsten] Univ Iowa, Coll Liberal Arts & Sci, Dept Hlth & Human Physiol, Iowa City, IA 52242 USA; [Rudroff, Thorsten] Univ Iowa Hosp & Clin, Dept Neurol, Carver Coll Med, Iowa City, IA 52242 USA; [Rudroff, Thorsten] Univ Iowa, Coll Liberal Arts & Sci, Dept Hlth & Human Physiol, Iowa City, IA 52242 USA; [Rudroff, Thorsten] Univ Iowa Hosp & Clin, Dept Neurol, Carver Coll Med, Iowa City, IA 52242 USA								9							Neurosciences; Psychology	WOS:000549214400001		
J	Tsuboi, Takashi; Cif, Laura; Coubes, Philippe; Ostrem, Jill L.; Romero, Danilo A.; Miyagi, Yasushi; Lozano, Andres M.; De Vloo, Philippe; Haq, Ihtsham; Meng, Fangang; Sharma, Nutan; Ozelius, Laurie J.; Shukla, Aparna Wagle; Cauraugh, James H.; Foote, Kelly D.; Okun, Michael S.								Secondary Worsening Following DYT1 Dystonia Deep Brain Stimulation: A Multi-country Cohort								FRONTIERS IN HUMAN NEUROSCIENCE				14						242	10.3389/fnhum.2020.00242			JUN 25 2020	2020	Objective: To reveal clinical characteristics of suboptimal responses to deep brain stimulation (DBS) in a multi-country DYT1 dystonia cohort. Methods: In this multi-country multi-center retrospective study, we analyzed the clinical data of DYT1 patients who experienced suboptimal responses to DBS defined as Results: Approximately 8% of our study cohort (11 out of 132) experienced suboptimal responses to DBS. Compared with the historical cohort, the multi-country cohort with suboptimal responses had a significantly younger age at onset (mean, 7.0 vs. 8.4 years;p= 0.025) and younger age at DBS (mean, 12.0 vs. 18.6 years;p= 0.019). Additionally, cranial involvement was more common in the multi-country cohort (before DBS, 64% vs. 45%,p= 0.074; before or after DBS, 91% vs. 47%,p= 0.001). Mean motor improvement at the last follow-up from baseline were 0% and 66% for the multi-country and historical cohorts, respectively. All 11 patients of the multi-country cohort had generalization of dystonia within 2.5 years after disease onset. All patients experienced dystonia improvement of >30% postoperatively; however, secondary worsening of dystonia commenced between 6 months and 3 years following DBS. The improvement at the last follow-up was less than 30% despite optimally-placed leads, a trial of multiple programming settings, and additional DBS surgeries in all patients. The on-/off-stimulation comparison at the long-term follow-up demonstrated beneficial effects of DBS despite missing the threshold of 30% improvement over baseline. Conclusion: Approximately 8% of patients represent a more aggressive phenotype of DYT1 dystonia characterized by younger age at onset, faster disease progression, and cranial involvement, which seems to be associated with long-term suboptimal responses to DBS (e.g., secondary worsening). This information could be useful for both clinicians and patients in clinical decision making and patient counseling before and following DBS implantations. Patients with this phenotype may have different neuroplasticity, neurogenetics, or possibly distinct neurophysiology.		[Tsuboi, Takashi; Shukla, Aparna Wagle; Okun, Michael S.] Univ Florida, Norman Fixel Inst Neurol Dis, Dept Neurol, Gainesville, FL 32611 USA; [Tsuboi, Takashi] Nagoya Univ, Grad Sch Med, Dept Neurol, Nagoya, Aichi, Japan; [Cif, Laura] Univ Hosp Montpellier, Dept Neurol, Montpellier, France; [Coubes, Philippe] Univ Hosp Montpellier, Dept Neurosurg, Montpellier, France; [Ostrem, Jill L.; Romero, Danilo A.] Univ Calif San Francisco, Dept Neurol, San Francisco, CA USA; [Miyagi, Yasushi] Fukuoka Mirai Hosp, Dept Stereotact & Funct Neurosurg, Fukuoka, Japan; [Lozano, Andres M.] Toronto Western Hosp, Krembil Neurosci Ctr, Div Neurosurg, Toronto, ON, Canada; [Lozano, Andres M.; De Vloo, Philippe] Univ Toronto, Dept Neurosurg, Toronto, ON, Canada; [De Vloo, Philippe] Katholieke Univ Leuven, Dept Neurosurg, Leuven, Belgium; [Haq, Ihtsham] Wake Forest Sch Med, Dept Neurol, Winston Salem, NC 27101 USA; [Meng, Fangang] Capital Med Univ, Beijing Tiantan Hosp, Beijing Neurosurg Inst, Beijing, Peoples R China; [Sharma, Nutan; Ozelius, Laurie J.] Massachusetts Gen Hosp, Dept Neurol, Charlestown, MA USA; [Cauraugh, James H.] Univ Florida, Dept Appl Physiol & Kinesiol, Gainesville, FL USA; [Foote, Kelly D.] Univ Florida, Norman Fixel Inst Neurol Dis, Dept Neurosurg, Gainesville, FL USA; [Tsuboi, Takashi] Univ Florida, Norman Fixel Inst Neurol Dis, Dept Neurol, Gainesville, FL 32611 USA; [Tsuboi, Takashi] Nagoya Univ, Grad Sch Med, Dept Neurol, Nagoya, Aichi, Japan								7							Neurosciences; Psychology	WOS:000549212100001		
J	Vieillard, Sandrine; Pinabiaux, Charlotte; Bigand, Emmanuel								Positive and Detached Reappraisal of Threatening Music in Younger and Older Adults								FRONTIERS IN HUMAN NEUROSCIENCE				14						216	10.3389/fnhum.2020.00216			JUN 25 2020	2020	Past empirical studies have suggested that older adults preferentially use gaze-based mood regulation to lessen their negative experiences while watching an emotional scene. This preference for a low cognitively demanding regulatory strategy leaves open the question of whether the effortful processing of a more cognitively demanding reappraisal task is really spared from the general age-related decline. Because it does not allow perceptual attention to be redirected away from the emotional source, music provides an ideal way to address this question. The goal of our study was to examine the affective, behavioral, physiological, and cognitive outcomes of positive and detached reappraisal in response to negative musical emotion in younger and older adults. Participants first simply listened to a series of threatening musical excerpts and were then instructed to either positively reappraise or to detach themselves from the emotion elicited by music. Findings showed that, when instructed to simply listen to threatening music, older adults reported a more positive feeling associated with a smaller SCL in comparison with their younger counterparts. When implementing positive and detached reappraisal, participants showed more positive and more aroused emotional experiences, whatever the age group. We also found that the instruction to intentionally reappraise negative emotions results in a lesser cognitive cost for older adults in comparison with younger adults. Taken together, these data suggest that, compared to younger adults, older adults engage in spontaneous downregulation of negative affect and successfully implement downregulation instructions. This extends previous findings and brings compelling evidence that, even when auditory attention cannot be redirected away from the emotional source, older adults are still more effective at regulating emotions. Taking into account the age-associated decline in executive functioning, our results suggest that the working memory task could have distracted older adults from the reminiscences of the threat-evoking music, thus resulting in an emotional downregulation. Hence, even if they were instructed to implement reappraisal strategies, older adults might prefer distraction over engagement in reappraisal. This is congruent with the idea that, although getting older, people are more likely to be distracted from a negative source of emotion to maintain their well-being.		[Vieillard, Sandrine; Pinabiaux, Charlotte] Univ Paris Nanterre, Unite DysCo, Fonctionnement & Dysfonctionnement Cognitifs Ages, Nanterre, France; [Bigand, Emmanuel] Univ Bourgogne Franche Comte, Unite LEAD, Lab Etud Apprentissages & Dev, CNRS,UMR 5022, Dijon, France; [Vieillard, Sandrine] Univ Paris Nanterre, Unite DysCo, Fonctionnement & Dysfonctionnement Cognitifs Ages, Nanterre, France								3							Neurosciences; Psychology	WOS:000549215100001		
J	Li, Lin; Wang, Huiling; Luo, Huiyu; Zhang, Xiaoyou; Zhang, Ruqian; Li, Xianchun								Interpersonal Neural Synchronization During Cooperative Behavior of Basketball Players: A fNIRS-Based Hyperscanning Study								FRONTIERS IN HUMAN NEUROSCIENCE				14						169	10.3389/fnhum.2020.00169			JUN 24 2020	2020	Accumulating evidence has consistently shown that team-based sports (such as basketball) are beneficial to interpersonal cooperation. However, its neural correlate remains to be discovered, especially in the perspective of two-person neuroscience. In this study, 12 dyads of basketball players and 12 dyads of college students who had no experience of team-based sports training were asked to perform joint-drawing task and control task. During task performance, neural activities were recorded in frontal area by the functional near-infrared spectroscopy (fNIRS)-based hyperscanning approach. The results demonstrated that dyads of basketball players were faster to finish joint-drawing task and showed higher subjective cooperativeness than dyads of college students. Meanwhile, significant interpersonal neural synchronization (INS) was observed in the dorsolateral prefrontal area only when pairs of basketball players performed joint-drawing task, but not control task. Therefore, we provide the first piece of inter-brain evidence for enhanced cooperative behavior in the individuals with team-based sports training, which could make us deeply understand exact neural correlate for experience-dependent changes of cognitions in humans.		[Li, Lin; Wang, Huiling; Zhang, Xiaoyou] East China Normal Univ, Key Lab Adolescent Hlth Assessment & Exercise Int, Minist Educ, Shanghai, Peoples R China; [Li, Lin; Wang, Huiling; Zhang, Xiaoyou] East China Normal Univ, Coll Phys Educ & Hlth, Shanghai, Peoples R China; [Luo, Huiyu] Shanghai Yucai Jr High Sch, Shanghai, Peoples R China; [Zhang, Ruqian; Li, Xianchun] East China Normal Univ, Shanghai Changning ECNU Mental Hlth Ctr, Sch Psychol & Cognit Sci, Shanghai, Peoples R China; [Li, Xianchun] East China Normal Univ, Shanghai Changning ECNU Mental Hlth Ctr, Sch Psychol & Cognit Sci, Shanghai, Peoples R China								10							Neurosciences; Psychology	WOS:000553961400001		
J	Sun, Lijun; Feng, Chen; Yang, Yufang								Tension Experience Induced By Nested Structures In Music								FRONTIERS IN HUMAN NEUROSCIENCE				14						210	10.3389/fnhum.2020.00210			JUN 24 2020	2020	Tension experience is the basis for music emotion. In music, discrete elements are always organized into complex nested structures to convey emotion. However, the processing of music tension in the nested structure remains unknown. The present study investigated the tension experience induced by the nested structure and the underlying neural mechanisms, using a continuous tension rating task and electroencephalography (EEG) at the same time. Thirty musicians listened to music chorale sequences with non-nested, singly nested and doubly nested structures and were required to rate their real-time tension experience. Behavioral data indicated that the tension experience induced by the nested structure had more fluctuations than the non-nested structure, and the difference was mainly exhibited in the process of tension induction rather than tension resolution. However, the EEG data showed that larger late positive components (LPCs) were elicited by the ending chords in the nested structure compared with the non-nested structure, reflecting the difference in cognitive integration for long-distance structural dependence. The discrepancy between resolution experience and neural responses revealed the non-parallel relations between emotion and cognition. Furthermore, the LPC elicited by the doubly nested structure showed a smaller scalp distribution than the singly nested structure, indicating the more difficult processing of the doubly nested structure. These findings revealed the dynamic tension experience induced by the nested structure and the influence of nested type, shedding new light on the relationship between structure and tension in music.		[Sun, Lijun; Feng, Chen; Yang, Yufang] Chinese Acad Sci, Inst Psychol, Key Lab Behav Sci, Beijing, Peoples R China; [Sun, Lijun; Feng, Chen; Yang, Yufang] Univ Chinese Acad Sci, Dept Psychol, Beijing, Peoples R China; [Yang, Yufang] Chinese Acad Sci, Inst Psychol, Key Lab Behav Sci, Beijing, Peoples R China; [Yang, Yufang] Univ Chinese Acad Sci, Dept Psychol, Beijing, Peoples R China								2							Neurosciences; Psychology	WOS:000551653200001		
