journal_name,journal_website,journal_scope,journal_article_types,COPE (T = member; F = not a member),"eligible (T = publishes empirical, F = no empirical)",primary_coder,secondary_coder,,preserve_journal_scope,preserve_article_types,additional_notes,,ISSN,eISSN,Web of Science Categories,WOS_first_psych_category
JOURNAL OF COUPLE & RELATIONSHIP THERAPY-INNOVATIONS IN CLINICAL AND EDUCATIONAL INTERVENTIONS,https://www.tandfonline.com/journals/wcrt20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=wcrt20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=wcrt20,T,T,AW,,,https://osf.io/2n7k5,https://osf.io/xq7j9,COPE found through ISSN search,,1533-2691,1533-2683,"Psychology, Clinical","Psychology, Clinical"
PSYCHOLOGY & SEXUALITY,https://www.tandfonline.com/journals/rpse20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=rpse20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rpse20,T,T,AW,,,https://osf.io/g94rn,https://osf.io/p5abe,,,1941-9899,1941-9902,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
TRAINING AND EDUCATION IN PROFESSIONAL PSYCHOLOGY,https://www.apa.org/pubs/journals/tep/,https://www.apa.org/pubs/journals/tep/,https://www.apa.org/pubs/journals/tep/,F,T,AW,,,https://osf.io/8duva,https://osf.io/8duva,,,1931-3918,1931-3926,"Psychology, Educational","Psychology, Educational"
EDUCATIONAL PSYCHOLOGIST,https://www.tandfonline.com/journals/hedp20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=hedp20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=hedp20,F,T,AW,,,https://osf.io/8v5zq,https://osf.io/c9t86,,,0046-1520,1532-6985,"Education & Educational Research | Psychology, Educational","Psychology, Educational"
CANADIAN JOURNAL OF SCHOOL PSYCHOLOGY,https://journals.sagepub.com/loi/cjs,https://journals.sagepub.com/aims-scope/CJS,https://journals.sagepub.com/author-instructions/CJS,T,T,AW,,,https://osf.io/tweru,https://osf.io/k6wcm,,,0829-5735,2154-3984,"Psychology, Educational","Psychology, Educational"
SCHIZOPHRENIA RESEARCH-COGNITION,https://www.sciencedirect.com/journal/schizophrenia-research-cognition ; http://www.schizrescognition.com (broken link),https://www.sciencedirect.com/journal/schizophrenia-research-cognition/about/aims-and-scope,https://www.elsevier.com/journals/schizophrenia-research-cognition/2215-0013/guide-for-authors,F,T,AW,,,https://osf.io/3jrwu,https://osf.io/tckqg,,,2215-0013,2215-0013,"Psychiatry | Psychology, Experimental","Psychology, Experimental"
JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,https://guilfordjournals.com/journal/jscp,https://guilfordjournals.com/journal/jscp/about,https://guilfordjournals.com/journal/jscp/authors,F,T,AW,,,https://osf.io/vrsdx,https://osf.io/3ents,,,0736-7236,1943-2771,"Psychology, Clinical | Psychology, Social","Psychology, Clinical"
JOURNAL OF SPORT PSYCHOLOGY IN ACTION,https://appliedsportpsych.org/publications/journal-of-sport-psychology-in-action/,https://appliedsportpsych.org/publications/journal-of-sport-psychology-in-action/ ; https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=uspa20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=uspa20 ; https://www.tandfonline.com/doi/pdf/10.1080/21520704.2013.770651?_ga=2.213566359.2067549656.1688972883-248443596.1687238022&_gl=1*oeny2f*_ga*MjQ4NDQzNTk2LjE2ODcyMzgwMjI.*_ga_0HYE8YG0M6*MTY4OTA1MDMwMy4xOC4xLjE2ODkwNTA5ODEuMC4wLjA.,T,F,AW,,,https://osf.io/tn63r ; https://osf.io/cqt65,https://osf.io/veb2s ; https://osf.io/h725p,,,2152-0704,2152-0712,"Psychology, Applied","Psychology, Applied"
SOCIAL PSYCHOLOGY QUARTERLY,https://www.asanet.org/publications/journals/social-psychology-quarterly/,https://journals.sagepub.com/aims-scope/SPQ,https://journals.sagepub.com/author-instructions/SPQ,F,T,AW,,,https://osf.io/4sah3,https://osf.io/86fw9,,,0190-2725,1939-8999,"Psychology, Social","Psychology, Social"
HUMAN RESOURCE DEVELOPMENT QUARTERLY,https://onlinelibrary.wiley.com/journal/15321096,https://onlinelibrary.wiley.com/page/journal/15321096/homepage/productinformation.html,https://onlinelibrary.wiley.com/page/journal/15321096/homepage/forauthors.html,T,T,AW,,,https://osf.io/dnrcx,https://osf.io/x27qk,,,1044-8004,1532-1096,"Industrial Relations & Labor | Psychology, Applied | Management","Psychology, Applied"
JOURNAL OF MOTOR LEARNING AND DEVELOPMENT,https://journals.humankinetics.com/view/journals/jmld/jmld-overview.xml,https://journals.humankinetics.com/view/journals/jmld/jmld-overview.xml?tab_body=about,https://journals.humankinetics.com/view/journals/jmld/jmld-overview.xml?tab_body=author-guidelines,F,T,AW,,,https://osf.io/8f2st,https://osf.io/ycjhg,,,2325-3193,2325-3215,"Psychology, Development | Psychology, Experimental | Sport Sciences","Psychology, Development"
HUMAN MOVEMENT SCIENCE,https://www.sciencedirect.com/journal/human-movement-science?start_rank=521&sortby=sortByDateDesc&cat0=psychology&cat1=experimental-and-cognitive-psychology,https://www.sciencedirect.com/journal/human-movement-science/about/aims-and-scope,https://www.elsevier.com/journals/human-movement-science/0167-9457/guide-for-authors,T,T,AW,,,https://osf.io/4vsxa,https://osf.io/4vsxa,,,0167-9457,1872-7646,Neurosciences | Psychology | Sport Sciences,Psychology | Sport
HUMAN ARENAS,https://humanarenas.org ; https://www.springer.com/journal/42087,https://www.springer.com/journal/42087/aims-and-scope,https://www.springer.com/journal/42087/submission-guidelines,T,T,AW,,,https://osf.io/ukfdq,https://osf.io/3w7k8,,,2522-5790,2522-5804,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,https://bpspsychub.onlinelibrary.wiley.com/journal/2044835x,https://bpspsychub.onlinelibrary.wiley.com/hub/journal/2044835x/homepage/productinformation.html,https://bpspsychub.onlinelibrary.wiley.com/hub/journal/2044835x/homepage/forauthors.html,T,T,AW,,,https://osf.io/8tpg2,https://osf.io/5gyfb,,,0261-510X,2044-835X,"Psychology, Development","Psychology, Development"
INTERNATIONAL JOURNAL OF ADOLESCENCE AND YOUTH,https://www.tandfonline.com/journals/rady20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=rady20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rady20,F,T,AW,,,https://osf.io/vctgx,https://osf.io/svqxb,,,0267-3843,2164-4527,"Psychology, Development","Psychology, Development"
BRAIN AND COGNITION,https://www.sciencedirect.com/journal/brain-and-cognition,https://www.sciencedirect.com/journal/brain-and-cognition/about/aims-and-scope,https://www.elsevier.com/journals/brain-and-cognition/0278-2626/guide-for-authors,T,T,AW,,,https://osf.io/rczb8,https://osf.io/hd2gk,,,0278-2626,1090-2147,"Psychology, Experimental","Psychology, Experimental"
NEW IDEAS IN PSYCHOLOGY,https://www.sciencedirect.com/journal/new-ideas-in-psychology,https://www.sciencedirect.com/journal/new-ideas-in-psychology/about/aims-and-scope,https://www.elsevier.com/journals/new-ideas-in-psychology/0732-118X/guide-for-authors,T,T,AW,,,https://osf.io/gf3br,https://osf.io/9r7dt,,,0732-118X,1873-3522,"Psychology, Multidisciplinary | Psychology, Experimental","Psychology, Multidisciplinary"
EUROPEAN JOURNAL OF PSYCHOLOGY OF EDUCATION,https://www.springer.com/journal/10212,https://www.springer.com/journal/10212/aims-and-scope,https://www.springer.com/journal/10212/submission-guidelines,T,T,AW,,,https://osf.io/e5a76,https://osf.io/c7zju,,,0256-2928,1878-5174,"Psychology, Educational","Psychology, Educational"
PERSONNEL REVIEW,https://www.emerald.com/insight/publication/issn/0048-3486,https://www.emeraldgrouppublishing.com/journal/pr?distinct_id=%24device%3A18943f21add1251-0466f482feb22f-48183201-1fa400-18943f21add1251&_ga=2.55887915.1822358612.1689062088-1937524694.1689062088&_gl=1*w07a03*_ga*MTkzNzUyNDY5NC4xNjg5MDYyMDg4*_ga_45RWY1YP1V*MTY4OTA2MjA4OC4xLjEuMTY4OTA2MjEyNy4wLjAuMA..,https://www.emeraldgrouppublishing.com/journal/pr?distinct_id=%24device%3A18943f21add1251-0466f482feb22f-48183201-1fa400-18943f21add1251&_ga=2.55887915.1822358612.1689062088-1937524694.1689062088&_gl=1*6p1713*_ga*MTkzNzUyNDY5NC4xNjg5MDYyMDg4*_ga_45RWY1YP1V*MTY4OTA2MjA4OC4xLjEuMTY4OTA2MjE0OC4wLjAuMA..#author-guidelines,T,T,AW,,,https://osf.io/43k8q,https://osf.io/j93zy,,,0048-3486,1758-6933,"Industrial Relations & Labor | Psychology, Applied | Management","Psychology, Applied"
INTERNATIONAL JOURNAL OF OFFENDER THERAPY AND COMPARATIVE CRIMINOLOGY,https://journals.sagepub.com/home/ijo,https://journals.sagepub.com/aims-scope/IJO,https://journals.sagepub.com/author-instructions/IJO,F,T,AW,,,https://osf.io/84khg,https://osf.io/gzteu,,,0306-624X,1552-6933,"Criminology & Penology | Psychology, Applied","Psychology, Applied"
JOURNAL OF ADOLESCENCE,https://onlinelibrary.wiley.com/journal/10959254,https://onlinelibrary.wiley.com/page/journal/10959254/homepage/productinformation.html,https://onlinelibrary.wiley.com/page/journal/10959254/homepage/author-guidelines,T,T,AW,,,https://osf.io/6n54s,https://osf.io/f7z8t,COPE lists publisher as Elsevier but appears to be Wiley,,0140-1971,1095-9254,"Psychology, Development","Psychology, Development"
OCCUPATIONAL HEALTH SCIENCE,https://www.springer.com/journal/41542,https://www.springer.com/journal/41542/aims-and-scope,https://www.springer.com/journal/41542/submission-guidelines#Instructions%20for%20authors_Article%20Types,T,T,AW,,,https://osf.io/3dxt5,https://osf.io/murzk,,,2367-0134,2367-0142,"Public, Environmental & Occupational Health | Psychology, Applied","Psychology, Applied"
KINDHEIT UND ENTWICKLUNG,https://www.hogrefe.com/de/zeitschrift/kindheit-und-entwicklung,Non-English,,F,F,AW,,,,,Publishes English articles but all website information German only,,0942-5403,2190-6246,"Psychology, Development","Psychology, Development"
PSYCHOLOGICAL TRAUMA-THEORY RESEARCH PRACTICE AND POLICY,https://www.aaets.org/psychological-trauma ; https://www.apa.org/pubs/journals/tra/,https://www.apa.org/pubs/journals/tra/,https://www.apa.org/pubs/journals/tra/,F,T,AW,,,https://osf.io/9nep2,https://osf.io/tder2,Journal homesite does not appear to include information beyond about/scope,,1942-9681,1942-969X,"Psychology, Clinical | Psychiatry","Psychology, Clinical"
JOURNAL OF GAMBLING STUDIES,https://www.springer.com/journal/10899,https://www.springer.com/journal/10899/aims-and-scope,https://www.springer.com/journal/10899/submission-guidelines,T,T,AW,,,https://osf.io/bhcja,https://osf.io/wpxdq,,,1050-5350,1573-3602,"Substance Abuse | Psychology, Multidisciplinary","Psychology, Multidisciplinary"
RESIDENTIAL TREATMENT FOR CHILDREN & YOUTH,https://www.tandfonline.com/journals/wrtc20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=wrtc20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=wrtc20,T,T,AW,,,https://osf.io/6y7vr,https://osf.io/hwpsg,,,0886-571X,1541-0358,"Psychology, Clinical","Psychology, Clinical"
CLINICAL PSYCHOLOGY-SCIENCE AND PRACTICE,https://www.apa.org/pubs/journals/cps,https://www.apa.org/pubs/journals/cps,https://www.apa.org/pubs/journals/cps,T,T,AW,,,https://osf.io/u3pg8,https://osf.io/u3pg8,,,0969-5893,1468-2850,"Psychology, Clinical","Psychology, Clinical"
JOURNAL OF COGNITIVE NEUROSCIENCE,https://direct.mit.edu/jocn,https://direct.mit.edu/jocn/pages/submission-guidelines,https://direct.mit.edu/jocn/pages/submission-guidelines,F,T,AW,,,https://osf.io/uhwk6,https://osf.io/uhwk6,,,0898-929X,1530-8898,"Psychology, Experimental","Psychology, Experimental"
JOURNAL OF PSYCHOLOGY AND THEOLOGY,https://journals.sagepub.com/home/ptj,https://journals.sagepub.com/aims-scope/PTJ,https://journals.sagepub.com/author-instructions/PTJ,T,T,AW,,,https://osf.io/m67ea,https://osf.io/4s2ub,,,0091-6471,2328-1162,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
EMOTIONAL AND BEHAVIOURAL DIFFICULTIES,https://www.tandfonline.com/journals/rebd20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=rebd20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rebd20,T,T,AW,,,https://osf.io/cvhux,https://osf.io/7py4t,,,1363-2752,1741-2692,"Psychology, Educational","Psychology, Educational"
APPLIED MEASUREMENT IN EDUCATION,https://www.tandfonline.com/journals/hame20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=hame20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=hame20#article-types,T,T,AW,,,https://osf.io/n7emj,https://osf.io/sjc8u,,,0895-7347,1532-4818,"Education & Educational Research | Psychology, Educational | Psychology, Mathematical","Psychology, Educational"
JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR,https://onlinelibrary.wiley.com/journal/14685914,https://onlinelibrary.wiley.com/page/journal/14685914/homepage/productinformation.html,https://onlinelibrary.wiley.com/page/journal/14685914/homepage/forauthors.html,T,T,AW,,,https://osf.io/whf39,https://osf.io/ugfmh,,,0021-8308,1468-5914,"Psychology, Social","Psychology, Social"
COGENT PSYCHOLOGY,https://www.tandfonline.com/journals/oaps20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=oaps20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=oaps20,F,T,AW,,,https://osf.io/hdngt,https://osf.io/wyu94,,,2331-1908,2331-1908,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
JOURNAL OF PERSONALITY,https://onlinelibrary.wiley.com/journal/14676494,https://onlinelibrary.wiley.com/page/journal/14676494/homepage/productinformation.html,https://onlinelibrary.wiley.com/page/journal/14676494/homepage/forauthors.html,T,T,AW,,,https://osf.io/q9eyz,https://osf.io/bq95a,,,0022-3506,1467-6494,"Psychology, Social","Psychology, Social"
AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,https://scra27.org/publications/ajcp/,https://onlinelibrary.wiley.com/page/journal/15732770/homepage/productinformation.html,https://onlinelibrary.wiley.com/page/journal/15732770/homepage/forauthors.html,T,T,AW,,,https://osf.io/g8th9,https://osf.io/k2anx,,,0091-0562,1573-2770,"Public, Environmental & Occupational Health | Psychology, Multidisciplinary | Social Work","Psychology, Multidisciplinary"
JOURNAL OF LITERACY RESEARCH,https://literacyresearchassociation.org/resources/journal-of-literacy-research-jlr/ ; https://journals.sagepub.com/home/jlr,https://journals.sagepub.com/aims-scope/JLR,https://journals.sagepub.com/author-instructions/JLR,T,T,AW,,,https://osf.io/yeqg2,https://osf.io/3kzdp,,,1086-296X,1554-8430,"Education & Educational Research | Psychology, Educational","Psychology, Educational"
NPJ SCIENCE OF LEARNING,https://www.nature.com/npjscilearn/,https://www.nature.com/npjscilearn/aims,https://www.nature.com/npjscilearn/content-types,T,T,AW,,,https://osf.io/p7fbx,https://osf.io/46fmz ; https://osf.io/xqfhv,,,NA,2056-7936,"Education & Educational Research | Psychology, Experimental","Psychology, Experimental"
SCHOOL PSYCHOLOGY INTERNATIONAL,https://journals.sagepub.com/home/spi,https://journals.sagepub.com/aims-scope/SPI,https://journals.sagepub.com/author-instructions/SPI,T,T,AW,,,https://osf.io/d694j,https://osf.io/q5zjr,,,0143-0343,1461-7374,"Psychology, Educational","Psychology, Educational"
SEX ROLES,,,,,,,,,,,,,0360-0025,1573-2762,"Psychology, Development | Psychology, Social | Women'S Studies","Psychology, Development"
SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE,,,,,,,,,,,,,1948-5506,1948-5514,"Psychology, Social","Psychology, Social"
JOURNAL OF AGGRESSION MALTREATMENT & TRAUMA,,,,,,,,,,,,,1092-6771,1545-083X,"Psychology, Clinical | Criminology & Penology | Family Studies | Psychiatry","Psychology, Clinical"
ETHOS,,,,,,,,,,,,,0091-2131,1548-1352,"Anthropology | Psychology, Multidisciplinary","Psychology, Multidisciplinary"
JOURNAL OF FORENSIC PSYCHOLOGY RESEARCH AND PRACTICE,,,,,,,,,,,,,2473-2850,2473-2842,"Criminology & Penology | Psychology, Multidisciplinary","Psychology, Multidisciplinary"
PHILOSOPHICAL PSYCHOLOGY,,,,,,,,,,,,,0951-5089,1465-394X,"Ethics | Psychology, Multidisciplinary","Psychology, Multidisciplinary"
SUBSTANCE USE & MISUSE,,,,,,,,,,,,,1082-6084,1532-2491,Substance Abuse | Psychiatry | Psychology,Psychology
PSYCHOPHYSIOLOGY,,,,,,,,,,,,,0048-5772,1469-8986,Neurosciences | Physiology | Psychology,Psychology
BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,,,,,,,,,,,,,0144-6665,2044-8309,"Psychology, Social","Psychology, Social"
MINDFULNESS,,,,,,,,,,,,,1868-8527,1868-8535,"Psychology, Clinical | Psychiatry","Psychology, Clinical"
JOURNAL OF HOMOSEXUALITY,,,,,,,,,,,,,0091-8369,1540-3602,"Psychology, Multidisciplinary | Social Sciences, Interdisciplinary","Psychology, Multidisciplinary"
JOURNAL OF PERSONALITY ASSESSMENT,,,,,,,,,,,,,0022-3891,1532-7752,"Psychology, Clinical | Psychology, Social","Psychology, Clinical"
INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,,,,,,,,,,,,,1557-1874,1557-1882,"Substance Abuse | Psychiatry | Psychology, Clinical","Psychology, Clinical"
JOURNAL OF CLINICAL PSYCHOLOGY IN MEDICAL SETTINGS,,,,,,,,,,,,,1068-9583,1573-3572,"Psychology, Clinical","Psychology, Clinical"
JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY,,,,,,,,,,,,,1380-3395,1744-411X,Clinical Neurology | Psychology,Psychology
APPLIED PSYCHOLOGY-HEALTH AND WELL BEING,,,,,,,,,,,,,1758-0846,1758-0854,"Psychology, Applied","Psychology, Applied"
BEHAVIORAL AND BRAIN SCIENCES,,,,,,,,,,,,,0140-525X,1469-1825,"Psychology, Biological","Psychology, Biological"
THINKING & REASONING,,,,,,,,,,,,,1354-6783,1464-0708,"Psychology, Experimental","Psychology, Experimental"
EDUCATIONAL PSYCHOLOGY IN PRACTICE,,,,,,,,,,,,,0266-7363,1469-5839,"Psychology, Educational","Psychology, Educational"
JOURNAL OF GENETIC PSYCHOLOGY,,,,,,,,,,,,,0022-1325,1940-0896,Psychology,Psychology
JOURNAL OF TRAUMA & DISSOCIATION,,,,,,,,,,,,,1529-9732,1529-9740,"Psychology, Clinical | Psychiatry","Psychology, Clinical"
JOURNAL OF SOCIAL AND POLITICAL PSYCHOLOGY,,,,,,,,,,,,,NA,2195-3325,"Psychology, Social","Psychology, Social"
JOURNAL OF NONVERBAL BEHAVIOR,,,,,,,,,,,,,0191-5886,1573-3653,"Psychology, Social","Psychology, Social"
SOCIAL AND PERSONALITY PSYCHOLOGY COMPASS,,,,,,,,,,,,,NA,1751-9004,"Psychology, Social","Psychology, Social"
LIBERABIT-REVISTA DE PSICOLOGIA,,,,,,,,,,,,,1729-4827,2223-7666,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
COGNITIVE BEHAVIOUR THERAPY,,,,,,,,,,,,,1650-6073,1651-2316,"Psychology, Clinical","Psychology, Clinical"
AUSTRALIAN COMMUNITY PSYCHOLOGIST,,,,,,,,,,,,,1835-7393,1835-7393,"Psychology, Applied","Psychology, Applied"
APPLIED NEUROPSYCHOLOGY-CHILD,,,,,,,,,,,,,2162-2965,2162-2973,Clinical Neurology | Psychology,Psychology
PERSONALITY DISORDERS-THEORY RESEARCH AND TREATMENT,,,,,,,,,,,,,1949-2715,1949-2723,"Psychology, Clinical","Psychology, Clinical"
PSYCHIATRY PSYCHOLOGY AND LAW,,,,,,,,,,,,,1321-8719,1934-1687,"Criminology & Penology | Law | Psychiatry | Psychology, Multidisciplinary","Psychology, Multidisciplinary"
DECISION-WASHINGTON,,,,,,,,,,,,,2325-9965,2325-9973,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
QUADERNS DE PSICOLOGIA,,,,,,,,,,,,,0211-3481,2014-4520,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
PERSPECTIVES ON BEHAVIOR SCIENCE,,,,,,,,,,,,,2520-8969,2520-8977,"Psychology, Clinical","Psychology, Clinical"
PSYCHOSOCIAL INTERVENTION,,,,,,,,,,,,,1132-0559,2173-4712,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
JOURNAL OF COGNITIVE ENGINEERING AND DECISION MAKING,,,,,,,,,,,,,1555-3434,2169-5032,"Engineering, Industrial | Ergonomics | Psychology, Applied","Psychology, Applied"
PSICOTHEMA,,,,,,,,,,,,,0214-9915,1886-144X,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
JOURNAL OF PSYCHOTHERAPY INTEGRATION,,,,,,,,,,,,,1053-0479,1573-3696,"Psychology, Clinical","Psychology, Clinical"
JOURNAL OF CONTEXTUAL BEHAVIORAL SCIENCE,,,,,,,,,,,,,2212-1447,2212-1455,"Psychology, Clinical","Psychology, Clinical"
HUMAN PSYCHOPHARMACOLOGY-CLINICAL AND EXPERIMENTAL,,,,,,,,,,,,,0885-6222,1099-1077,Clinical Neurology | Pharmacology & Pharmacy | Psychiatry | Psychology,Psychology
PSYCHOANALYTIC QUARTERLY,,,,,,,,,,,,,0033-2828,2167-4086,"Psychology, Psychoanalysis","Psychology, Psychoanalysis"
PSYCHOLOGICA,,,,,,,,,,,,,0871-4657,1647-8606,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
JOURNAL OF EARLY INTERVENTION,,,,,,,,,,,,,1053-8151,2154-3992,"Education, Special | Psychology, Educational | Rehabilitation","Psychology, Educational"
JOURNAL OF PSYCHOLOGY IN AFRICA,,,,,,,,,,,,,1433-0237,1815-5626,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,,,,,,,,,,,,,0096-3445,1939-2222,"Psychology, Experimental","Psychology, Experimental"
CURRENT OPINION IN BEHAVIORAL SCIENCES,,,,,,,,,,,,,2352-1546,2352-1554,"Psychology, Experimental","Psychology, Experimental"
JOURNAL OF OCCUPATIONAL HEALTH PSYCHOLOGY,,,,,,,,,,,,,1076-8998,1939-1307,"Public, Environmental & Occupational Health | Psychology, Applied","Psychology, Applied"
JOURNAL OF PACIFIC RIM PSYCHOLOGY,,,,,,,,,,,,,1834-4909,1834-4909,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
HUMAN FACTORS,,,,,,,,,,,,,0018-7208,1547-8181,"Behavioral Sciences | Engineering, Industrial | Psychology",Psychology
STUDIA PSYCHOLOGICA,,,,,,,,,,,,,0039-3320,2585-8815,"Psychology, Multidisciplinary","Psychology, Multidisciplinary"
LANGUAGE ASSESSMENT QUARTERLY,,,,,,,,,,,,,1543-4303,1543-4311,"Psychology, Educational | Linguistics","Psychology, Educational"
MULTISENSORY RESEARCH,,,,,,,,,,,,,2213-4794,2213-4808,Biophysics | Psychology,Psychology
HUMAN PERFORMANCE,,,,,,,,,,,,,0895-9285,1532-7043,"Psychology, Applied","Psychology, Applied"
INTERNATIONAL JOURNAL OF EDUCATIONAL PSYCHOLOGY,,,,,,,,,,,,,2014-3591,2014-3591,"Psychology, Educational","Psychology, Educational"
BEHAVIORAL DISORDERS,,,,,,,,,,,,,0198-7429,2163-5307,"Psychology, Clinical | Education, Special | Psychology, Educational","Psychology, Clinical"
EUROPEAN REVIEW OF SOCIAL PSYCHOLOGY,,,,,,,,,,,,,1046-3283,1479-277X,"Psychology, Social","Psychology, Social"
PSYCHOANALYSIS SELF AND CONTEXT,,,,,,,,,,,,,2472-0038,2472-0046,"Psychology, Psychoanalysis","Psychology, Psychoanalysis"
INTERNATIONAL JOURNAL OF EMOTIONAL EDUCATION,,,,,,,,,,,,,2073-7629,2073-7629,"Psychology, Educational","Psychology, Educational"
ZEITSCHRIFT FUR SPORTPSYCHOLOGIE,,,,,,,,,,,,,1612-5010,2190-6300,"Psychology, Applied","Psychology, Applied"
JOURNAL OF SUBSTANCE ABUSE TREATMENT,,,,,,,,,,,,,0740-5472,1873-6483,"Psychology, Clinical | Substance Abuse","Psychology, Clinical"
JOURNAL OF ORGANIZATIONAL BEHAVIOR,,,,,,,,,,,,,0894-3796,1099-1379,"Business | Psychology, Applied | Management","Psychology, Applied"
ACTA COLOMBIANA DE PSICOLOGIA,,,,,,,,,,,,,0123-9155,1909-9711,"Psychology, Clinical","Psychology, Clinical"
METHODOLOGY-EUROPEAN JOURNAL OF RESEARCH METHODS FOR THE BEHAVIORAL AND SOCIAL SCIENCES,,,,,,,,,,,,,1614-1881,1614-2241,"Social Sciences, Mathematical Methods | Psychology, Mathematical","Psychology, Mathematical"
PSYCHOLOGICAL MEDICINE,,,,,,,,,,,,,0033-2917,1469-8978,Psychiatry | Psychology,Psychology
LAW AND HUMAN BEHAVIOR,,,,,,,,,,,,,0147-7307,1573-661X,"Law | Psychology, Social","Psychology, Social"
ART THERAPY,,,,,,,,,,,,,0742-1656,2159-9394,"Psychology, Clinical","Psychology, Clinical"
JOURNAL OF RESEARCH IN READING,,,,,,,,,,,,,0141-0423,1467-9817,"Education & Educational Research | Psychology, Educational","Psychology, Educational"
JOURNAL OF ADOLESCENT RESEARCH,,,,,,,,,,,,,0743-5584,1552-6895,"Psychology, Development","Psychology, Development"
JOURNAL OF PSYCHOSOMATIC OBSTETRICS & GYNECOLOGY,,,,,,,,,,,,,0167-482X,1743-8942,"Psychology, Clinical","Psychology, Clinical"
JOURNAL OF STUDIES ON ALCOHOL AND DRUGS,,,,,,,,,,,,,1937-1888,1938-4114,Substance Abuse | Psychology,Psychology
APPLIED PSYCHOLOGY IN CRIMINAL JUSTICE,,,,,,,,,,,,,1550-3550,1550-4409,"Psychology, Applied","Psychology, Applied"
APPLIED PSYCHOPHYSIOLOGY AND BIOFEEDBACK,,,,,,,,,,,,,1090-0586,1573-3270,"Psychology, Clinical","Psychology, Clinical"
LEARNING AND INSTRUCTION,,,,,,,,,,,,,0959-4752,1873-3263,"Education & Educational Research | Psychology, Educational","Psychology, Educational"
JOURNAL OF HAPPINESS STUDIES,,,,,,,,,,,,,1389-4978,1573-7780,"Psychology, Multidisciplinary | Social Sciences, Interdisciplinary","Psychology, Multidisciplinary"
PSYCHOLOGY CRIME & LAW,,,,,,,,,,,,,1068-316X,1477-2744,"Criminology & Penology | Law | Psychology, Multidisciplinary","Psychology, Multidisciplinary"
BODY IMAGE,,,,,,,,,,,,,1740-1445,1873-6807,"Psychology, Clinical | Psychiatry | Psychology, Multidisciplinary","Psychology, Clinical"
JOURNAL OF CAREER DEVELOPMENT,,,,,,,,,,,,,0894-8453,1556-0856,"Psychology, Applied","Psychology, Applied"
COGNITION,,,,,,,,,,,,,0010-0277,1873-7838,"Psychology, Experimental","Psychology, Experimental"
JOURNAL OF CULTURAL COGNITIVE SCIENCE,,,,,,,,,,,,,2520-100X,2520-1018,"Psychology, Experimental","Psychology, Experimental"
JOURNAL OF CHILD AND FAMILY STUDIES,,,,,,,,,,,,,1062-1024,1573-2843,"Family Studies | Psychology, Development | Psychiatry","Psychology, Development"
ZEITSCHRIFT FUR NEUROPSYCHOLOGIE,,,,,,,,,,,,,1016-264X,1664-2902,Clinical Neurology | Psychology,Psychology
JOURNAL OF THEORETICAL SOCIAL PSYCHOLOGY,,,,,,,,,,,,,NA,2475-0387,"Psychology, Social","Psychology, Social"
