journal_name,journal_website,journal_scope,journal_article_types,COPE (T = member; F = not a member),"eligible (T = publishes empirical, F = no empirical)",primary_coder,secondary_coder,...9,preserve_journal_scope,preserve_article_types,additional_notes,...13,ISSN,eISSN,Total Citations,2021 JIF,JIF Quartile,2021 JCI,Category,WOS_first_psych_category
CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,https://www.psychologicalscience.org/publications/current_directions,https://www.psychologicalscience.org/publications/current_directions,https://www.psychologicalscience.org/publications/current_directions/instructions-for-authors,TRUE,TRUE,AW,SV,NA,https://osf.io/yc5tv,https://osf.io/qfrtv,Publishes meta-analyses,NA,0963-7214,1467-8721,17694,7.867,Q1,2.39,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF YOUTH AND ADOLESCENCE,https://www.springer.com/journal/10964,https://www.springer.com/journal/10964/aims-and-scope,https://www.springer.com/journal/10964/submission-guidelines,TRUE,TRUE,AW,SV,NA,https://osf.io/7qshg,https://osf.io/s9a7c,NA,NA,0047-2891,1573-6601,14630,5.625,Q1,1.38,"PSYCHOLOGY, DEVELOPMENTAL - SSCI","PSYCHOLOGY, DEVELOPMENTAL"
AMERICAN PSYCHOLOGIST,https://www.apa.org/pubs/journals/AMP,https://www.apa.org/pubs/journals/AMP,https://www.apa.org/pubs/journals/AMP,TRUE,TRUE,AW,RT,NA,https://osf.io/zyu34,https://osf.io/zyu34,NA,NA,0003-066X,1935-990X,40383,16.358,Q1,4.76,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
EUROPEAN JOURNAL OF PSYCHOLOGY APPLIED TO LEGAL CONTEXT,https://journals.copmadrid.org/ejpalc/,https://journals.copmadrid.org/ejpalc/,https://journals.copmadrid.org/ejpalc/authors,FALSE,TRUE,AW,RT,NA,https://osf.io/6amqd,https://osf.io/4qyrp,"""The EJPALC also uses as a reference the “Code of conduct and good practice” defined by the Committee on Publication Ethics (COPE) for scientific journals,"" HOWEVER not listed member on COPE website",NA,1889-1861,1989-4007,526,9.85,Q1,7.1,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF ANXIETY DISORDERS,https://www.sciencedirect.com/journal/journal-of-anxiety-disorders,https://www.sciencedirect.com/journal/journal-of-anxiety-disorders/about/aims-and-scope,https://www.elsevier.com/journals/journal-of-anxiety-disorders/0887-6185/guide-for-authors,TRUE,TRUE,AW,RT,NA,https://osf.io/uxgnr,"https://osf.io/y7mct ; most detailed list I could find, descriptions are for users (not authors). Search of these types suggests some of these options no longer available to authors.",NA,NA,0887-6185,1873-7897,11739,13.711,Q1,2.18,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
EUROPEAN EATING DISORDERS REVIEW,https://onlinelibrary.wiley.com/journal/10990968,https://onlinelibrary.wiley.com/page/journal/10990968/homepage/productinformation.html,https://onlinelibrary.wiley.com/page/journal/10990968/homepage/forauthors.html,TRUE,TRUE,AW,SV,NA,https://osf.io/sarwu,https://osf.io/5dpc4,NA,NA,1072-4133,1099-0968,4218,5.36,Q1,1.2,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
CLINICAL PSYCHOLOGICAL SCIENCE,https://www.psychologicalscience.org/publications/clinical,https://www.psychologicalscience.org/publications/clinical/aims,https://www.psychologicalscience.org/publications/clinical/clinical-submission-guidelines#TYPES,TRUE,TRUE,AW,RT,NA,https://osf.io/9fg6p,https://osf.io/skuba,NA,NA,2167-7026,2167-7034,4719,7.216,Q1,1.81,"PSYCHOLOGY - SCIE; PSYCHOLOGY, CLINICAL - SSCI",PSYCHOLOGY - SCIE
HUMAN DEVELOPMENT,https://karger.com/HDE,https://karger.com/HDE/pages/details,https://karger.com/HDE/pages/guidelines#sec5,TRUE,FALSE,AW,NA,NA,https://osf.io/y6pt4,https://osf.io/3hf9q,NA,NA,0018-716X,1423-0054,2131,5.708,Q1,1,"PSYCHOLOGY, DEVELOPMENTAL - SSCI","PSYCHOLOGY, DEVELOPMENTAL"
JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,https://www.apa.org/pubs/journals/psp/,https://www.apa.org/pubs/journals/psp/,https://www.apa.org/pubs/journals/psp/,TRUE,TRUE,AW,RT,NA,https://osf.io/bnkg6,https://osf.io/bnkg6,NA,NA,0022-3514,1939-1315,100429,8.46,Q1,2.58,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
ADVANCES IN EXPERIMENTAL SOCIAL PSYCHOLOGY,https://www.sciencedirect.com/bookseries/advances-in-experimental-social-psychology,na,na,FALSE,FALSE,AW,NA,NA,https://osf.io/s36bf,NA,Appears to be a book rather than journal,NA,0065-2601,1557-8410,8450,7.263,Q1,2.32,"PSYCHOLOGY, EXPERIMENTAL - SSCI; PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, EXPERIMENTAL"
NEUROPSYCHOBIOLOGY,https://karger.com/NPS/,https://karger.com/NPS/pages/guidelines#sec1,https://karger.com/NPS/pages/guidelines#sec1,TRUE,TRUE,AW,RT,NA,https://osf.io/2xkdp,https://osf.io/2xkdp,NA,NA,0302-282X,1423-0224,3757,12.329,Q1,1.46,PSYCHOLOGY - SCIE,PSYCHOLOGY - SCIE
JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY,https://bpspsychub.onlinelibrary.wiley.com/journal/20448325,https://bpspsychub.onlinelibrary.wiley.com/hub/journal/20448325/homepage/productinformation.html,https://bpspsychub.onlinelibrary.wiley.com/hub/journal/20448325/homepage/forauthors.html,TRUE,TRUE,AW,TEH,NA,https://osf.io/75zbn,https://osf.io/7k3vr,NA,NA,0963-1798,2044-8325,6856,5.119,Q2,1.21,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
SOCIAL ISSUES AND POLICY REVIEW,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1751-2409,https://spssi.onlinelibrary.wiley.com/hub/journal/17512409/aims-and-scope/read-full-aims-and-scope,https://spssi.onlinelibrary.wiley.com/hub/journal/17512409/about/author-guidelines,TRUE,FALSE,AW,NA,NA,https://osf.io/usmfj,https://osf.io/6tvjf,"""journal for review articles that provide timely theoretical and empirical reviews of topics and programs of research"". Archive search using term ""meta-analysis"" did not return any results indicative of original empirical research, only review style.",NA,1751-2395,1751-2409,1202,9.857,Q1,3.17,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,https://bpspsychub.onlinelibrary.wiley.com/journal/20448309,https://bpspsychub.onlinelibrary.wiley.com/hub/journal/20448309/homepage/productinformation.html,https://bpspsychub.onlinelibrary.wiley.com/hub/journal/20448309/homepage/forauthors.html,TRUE,TRUE,AW,SV,NA,https://osf.io/pnyx5,https://osf.io/mnc4x,NA,NA,0144-6665,2044-8309,6983,6.92,Q1,1.72,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
JOURNAL OF OCCUPATIONAL HEALTH PSYCHOLOGY,https://www.apa.org/pubs/journals/ocp/,https://www.apa.org/pubs/journals/ocp/,https://www.apa.org/pubs/journals/ocp/,FALSE,TRUE,AW,RT,NA,https://osf.io/z4dsa,https://osf.io/z4dsa,NA,NA,1076-8998,1939-1307,9173,7.707,Q1,2.18,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
LEARNING AND INSTRUCTION,https://www.sciencedirect.com/journal/learning-and-instruction,https://www.sciencedirect.com/journal/learning-and-instruction/about/aims-and-scope,https://www.elsevier.com/journals/learning-and-instruction/0959-4752/guide-for-authors,TRUE,TRUE,AW,SV,NA,https://osf.io/4txn2,https://osf.io/wt9hc,NA,NA,0959-4752,1873-3263,7870,6.636,Q1,2.84,"PSYCHOLOGY, EDUCATIONAL - SSCI","PSYCHOLOGY, EDUCATIONAL"
BEHAVIOR RESEARCH METHODS,https://www.springer.com/journal/13428,https://www.springer.com/journal/13428/aims-and-scope,https://www.springer.com/journal/13428/submission-guidelines,TRUE,TRUE,AW,RT,NA,https://osf.io/uvnbe,https://osf.io/ygcsf,NA,NA,1554-351X,1554-3528,30783,5.953,Q1,1.83,"PSYCHOLOGY, EXPERIMENTAL - SSCI; PSYCHOLOGY, MATHEMATICAL - SSCI","PSYCHOLOGY, EXPERIMENTAL"
EUROPEAN REVIEW OF SOCIAL PSYCHOLOGY,https://www.tandfonline.com/journals/pers20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=pers20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=pers20,TRUE,TRUE,AW,RT,NA,https://osf.io/jbt79,https://osf.io/fqcrd,Publishes meta-analyses,NA,1046-3283,1479-277X,2360,5.652,Q1,1.75,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
MONOGRAPHS OF THE SOCIETY FOR RESEARCH IN CHILD DEVELOPMENT,https://www.srcd.org/research/journals/monographs-society-research-child-development,NA,https://srcd.onlinelibrary.wiley.com/hub/journal/15405834/forauthors.html,TRUE,TRUE,AW,RT,NA,https://osf.io/6yf9p,https://osf.io/zteur,NA,NA,0037-976X,1540-5834,3027,7.2,Q1,1.29,"PSYCHOLOGY, DEVELOPMENTAL - SSCI","PSYCHOLOGY, DEVELOPMENTAL"
AUTISM,https://journals.sagepub.com/home/aut,https://journals.sagepub.com/aims-scope/AUT,https://journals.sagepub.com/author-instructions/AUT,TRUE,TRUE,AW,SV,NA,https://osf.io/n9cfx,https://osf.io/2t9u5,NA,NA,1362-3613,1461-7005,9612,6.684,Q1,1.56,"PSYCHOLOGY, DEVELOPMENTAL - SSCI","PSYCHOLOGY, DEVELOPMENTAL"
JOURNAL OF CLINICAL PSYCHIATRY,https://www.psychiatrist.com/jcp/,https://www.psychiatrist.com/jcp/about-jcp/,https://www.psychiatrist.com/information-for-authors-jcp/,FALSE,TRUE,AW,SV,NA,https://osf.io/y68g3,https://osf.io/6v9hs,NA,NA,0160-6689,1555-2101,21832,5.906,Q1,1.11,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,https://www.apa.org/pubs/journals/ccp/,https://www.apa.org/pubs/journals/ccp/,https://www.apa.org/pubs/journals/ccp/,TRUE,TRUE,AW,SV,NA,https://osf.io/36j7x,https://osf.io/36j7x,NA,NA,0022-006X,1939-2117,27657,7.156,Q1,1.84,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
EVOLUTION AND HUMAN BEHAVIOR,https://www.sciencedirect.com/journal/evolution-and-human-behavior,https://www.sciencedirect.com/journal/evolution-and-human-behavior/about/aims-and-scope,https://www.elsevier.com/journals/evolution-and-human-behavior/1090-5138/guide-for-authors,TRUE,TRUE,AW,TEH,NA,https://osf.io/zumgk,https://osf.io/u65pz,NA,NA,1090-5138,1879-0607,6142,5.327,Q1,1.53,"PSYCHOLOGY, BIOLOGICAL - SSCI","PSYCHOLOGY, BIOLOGICAL"
JOURNAL OF EDUCATIONAL PSYCHOLOGY,https://www.apa.org/pubs/journals/edu/,https://www.apa.org/pubs/journals/edu/,https://www.apa.org/pubs/journals/edu/,TRUE,TRUE,AW,RT,NA,https://osf.io/6jh5k,https://osf.io/6jh5k,NA,NA,0022-0663,1939-2176,23272,6.856,Q1,2.42,"PSYCHOLOGY, EDUCATIONAL - SSCI","PSYCHOLOGY, EDUCATIONAL"
NPJ SCIENCE OF LEARNING,https://www.nature.com/npjscilearn/,https://www.nature.com/npjscilearn/aims,https://www.nature.com/npjscilearn/content-types,TRUE,TRUE,AW,SV,NA,https://osf.io/qmc25,https://osf.io/xc9gn ; https://osf.io/ct6pu (matters arising guidelines),NA,NA,N/A,2056-7936,536,5.513,Q1,1.44,"PSYCHOLOGY, EXPERIMENTAL - SSCI","PSYCHOLOGY, EXPERIMENTAL"
JOURNAL OF MANAGEMENT,https://journals.sagepub.com/home/jom,https://journals.sagepub.com/aims-scope/JOM,https://journals.sagepub.com/author-instructions/JOM,TRUE,TRUE,AW,SV,NA,https://osf.io/gewm3,https://osf.io/f46s8,NOTE: specific article types not given,NA,0149-2063,1557-1211,36651,13.508,Q1,2.67,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
PSYCHOLOGICAL REVIEW,https://www.apa.org/pubs/journals/rev/,https://www.apa.org/pubs/journals/rev/,https://www.apa.org/pubs/journals/rev/,TRUE,FALSE,AW,NA,NA,https://osf.io/qcuvw,https://osf.io/qcuvw,"Search using term ""meta-analysis"" in Title only returned one result from 2023. Excluded anyway as would seemingly not produce empirical articles from 2020",NA,0033-295X,1939-1471,36958,8.247,Q1,2.9,"PSYCHOLOGY - SCIE; PSYCHOLOGY, MULTIDISCIPLINARY - SSCI",PSYCHOLOGY - SCIE
INTERNATIONAL JOURNAL OF EATING DISORDERS,https://onlinelibrary.wiley.com/journal/1098108X,NA,https://onlinelibrary.wiley.com/page/journal/1098108x/homepage/forauthors.html#ARTICLE_TYPES,TRUE,TRUE,AW,SV,NA,https://osf.io/9ukpz,https://osf.io/gmyrn,NA,NA,0276-3478,1098-108X,13532,5.791,Q1,1.28,"PSYCHOLOGY - SCIE; PSYCHOLOGY, CLINICAL - SSCI",PSYCHOLOGY - SCIE
PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,https://www.psychologicalscience.org/publications/perspectives,NA,https://www.psychologicalscience.org/publications/perspectives/pps-submissions#TAP,TRUE,TRUE,AW,SV,NA,https://osf.io/mf79r,https://osf.io/9msvr,NA,NA,1745-6916,1745-6924,17025,11.621,Q1,3.5,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
QUALITATIVE RESEARCH IN SPORT EXERCISE AND HEALTH,https://www.tandfonline.com/journals/rqrs21,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=rqrs21,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rqrs21,FALSE,TRUE,AW,RT,NA,https://osf.io/sgqpn,https://osf.io/4a36r,NA,NA,2159-676X,2159-6778,2593,7.591,Q1,1.5,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
PSYCHOLOGICAL TRAUMA-THEORY RESEARCH PRACTICE AND POLICY,https://www.apa.org/pubs/journals/tra/index,https://www.apa.org/pubs/journals/tra/index,https://www.apa.org/pubs/journals/tra/index,FALSE,TRUE,AW,RT,NA,https://osf.io/nf46j,https://osf.io/nf46j,NA,NA,1942-9681,1942-969X,6742,9.398,Q1,2.03,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
JOURNAL OF VOCATIONAL BEHAVIOR,https://www.sciencedirect.com/journal/journal-of-vocational-behavior?start_rank=46001,https://www.sciencedirect.com/journal/journal-of-vocational-behavior?start_rank=46001,https://www.elsevier.com/journals/journal-of-vocational-behavior/0001-8791/guide-for-authorsable,TRUE,TRUE,AW,TEH,NA,https://osf.io/6s5k3,https://osf.io/ep8wd,NA,NA,0001-8791,1095-9084,18542,12.082,Q1,1.95,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
EMOTION REVIEW,https://journals.sagepub.com/home/emr,https://journals.sagepub.com/aims-scope/EMR,https://journals.sagepub.com/author-instructions/EMR#ArticleTypess,TRUE,TRUE,AW,SV,NA,https://osf.io/d9zfs,https://osf.io/czrtg,NA,NA,1754-0739,1754-0747,3923,7.345,Q1,2,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW,https://www.springer.com/journal/10567,https://www.springer.com/journal/10567/aims-and-scope,https://www.springer.com/journal/10567/submission-guidelines,TRUE,TRUE,AW,SV,NA,https://osf.io/v95f2,https://osf.io/mu2k9,Publishes meta-analyses,NA,1096-4037,1573-2827,4172,7.41,Q1,1.2,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY-PERSPECTIVES ON SCIENCE AND PRACTICE,https://www.cambridge.org/core/journals/industrial-and-organizational-psychology#,https://www.cambridge.org/core/journals/industrial-and-organizational-psychology/information,https://www.cambridge.org/core/journals/industrial-and-organizational-psychology/information/instructions-contributors,TRUE,FALSE,AW,NA,NA,https://osf.io/duv3t,https://osf.io/5kdga,NA,NA,1754-9426,1754-9434,2197,9.375,Q1,1.97,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
ADVANCES IN METHODS AND PRACTICES IN PSYCHOLOGICAL SCIENCE,https://www.psychologicalscience.org/publications/ampps,https://www.psychologicalscience.org/publications/ampps,https://www.psychologicalscience.org/publications/ampps/ampps-submission-guidelines#TYPE,TRUE,TRUE,AW,RT,NA,https://osf.io/tnfg6,https://osf.io/x8d6k,NA,NA,2515-2459,2515-2467,2016,15.817,Q1,4.8,"PSYCHOLOGY - SCIE; PSYCHOLOGY, MULTIDISCIPLINARY - SSCI",PSYCHOLOGY - SCIE
NEUROPSYCHOLOGY REVIEW,https://www.springer.com/journal/11065,https://www.springer.com/journal/11065/aims-and-scope,https://www.springer.com/journal/11065/submission-guidelines#Instructions%20for%20Authors_Types%20of%20papers,TRUE,TRUE,AW,SV,NA,https://osf.io/zv26b,https://osf.io/ugnj9,Publishes meta-analyses,NA,1040-7308,1573-6660,4428,6.94,Q1,0.88,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
FEMINISM & PSYCHOLOGY,https://journals.sagepub.com/home/fap,NA,https://journals.sagepub.com/author-instructions/FAP#ArticleTypes,TRUE,TRUE,AW,TEH,NA,https://osf.io/8s3gp,https://osf.io/fycvj,NA,NA,0959-3535,1461-7161,1674,5.833,Q1,1.94,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
INTERNET INTERVENTIONS-THE APPLICATION OF INFORMATION TECHNOLOGY IN MENTAL AND BEHAVIOURAL HEALTH,https://www.sciencedirect.com/journal/internet-interventions/about/aims-and-scope,https://www.sciencedirect.com/journal/internet-interventions/about/aims-and-scope,https://www.elsevier.com/journals/internet-interventions/2214-7829/guide-for-authors,FALSE,TRUE,AW,RT,NA,https://osf.io/uxgdq,https://osf.io/et9pu,NA,NA,N/A,2214-7829,2040,5.358,Q1,1.19,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
PSYCHOLOGICAL SCIENCE IN THE PUBLIC INTEREST,https://www.psychologicalscience.org/publications/pspi,https://www.psychologicalscience.org/publications/pspi/instructions-for-authors,https://www.psychologicalscience.org/publications/pspi/instructions-for-authors,TRUE,FALSE,AW,NA,NA,https://osf.io/d2vcb,https://osf.io/d2vcb,NA,NA,1529-1006,1539-6053,2781,56.2,Q1,11.44,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
CONTEMPORARY EDUCATIONAL PSYCHOLOGY,https://www.sciencedirect.com/journal/contemporary-educational-psychology,https://www.sciencedirect.com/journal/contemporary-educational-psychology/about/aims-and-scope,https://www.elsevier.com/journals/contemporary-educational-psychology/0361-476X/guide-for-authors,TRUE,TRUE,AW,SV,NA,https://osf.io/26smd,https://osf.io/arjgu,NA,NA,0361-476X,1090-2384,8284,6.922,Q1,2.33,"PSYCHOLOGY, EDUCATIONAL - SSCI","PSYCHOLOGY, EDUCATIONAL"
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,https://www.jaacap.org/,https://www.jaacap.org/content/aims,https://www.jaacap.org/content/authorinfo,TRUE,TRUE,AW,RT,NA,https://osf.io/exj4a,https://osf.io/p4b7c,NA,NA,0890-8567,1527-5418,25754,13.113,Q1,2.76,"PSYCHOLOGY, DEVELOPMENTAL - SSCI","PSYCHOLOGY, DEVELOPMENTAL"
EUROPEAN JOURNAL OF PERSONALITY,https://journals.sagepub.com/home/ERP,https://journals.sagepub.com/aims-scope/ERP,https://journals.sagepub.com/author-instructions/ERP#ArticleTypes,TRUE,TRUE,AW,SV,NA,https://osf.io/3aetg,https://osf.io/3aetg,NA,NA,0890-2070,1099-0984,5531,7,Q1,1.85,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,https://journals.sagepub.com/home/hsb,https://journals.sagepub.com/aims-scope/HSB,https://journals.sagepub.com/author-instructions/HSB,FALSE,TRUE,AW,RT,NA,https://osf.io/5htmp,https://osf.io/fvuwd,NA,NA,0022-1465,2150-6000,12917,5.179,Q1,1.65,"PSYCHOLOGY, SOCIAL - SSCI","PSYCHOLOGY, SOCIAL"
ANNUAL REVIEW OF CLINICAL PSYCHOLOGY,https://www.annualreviews.org/journal/clinpsy,https://www.annualreviews.org/journal/clinpsy,https://www.psychologicalscience.org/publications/pspi/instructions-for-authors,TRUE,FALSE,AW,NA,NA,https://osf.io/xeh6q,https://osf.io/qr9v5 ; Instructions for Authors (only solicited reviews accepted),NA,NA,1548-5943,1548-5951,9675,22.098,Q1,6.2,"PSYCHOLOGY - SCIE; PSYCHOLOGY, CLINICAL - SSCI",PSYCHOLOGY - SCIE
JOURNAL OF CONTEXTUAL BEHAVIORAL SCIENCE,https://www.sciencedirect.com/journal/journal-of-contextual-behavioral-science,https://www.sciencedirect.com/journal/journal-of-contextual-behavioral-science/about/aims-and-scope,https://www.elsevier.com/journals/journal-of-contextual-behavioral-science/2212-1447/guide-for-authors,TRUE,TRUE,AW,SV,NA,https://osf.io/qr2jt,https://osf.io/tc68q,NA,NA,2212-1447,2212-1455,2153,5.138,Q1,1.17,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
PSYCHOLOGICAL MEDICINE,https://www.cambridge.org/core/journals/psychological-medicine,https://www.cambridge.org/core/journals/psychological-medicine/information/about-this-journal,https://www.cambridge.org/core/journals/psychological-medicine/information/author-instructions/preparing-your-materials,TRUE,TRUE,AW,RT,NA,https://osf.io/qfbr2,https://osf.io/znwcf,NA,NA,0033-2917,1469-8978,39479,10.592,Q1,2.01,"PSYCHOLOGY - SCIE; PSYCHOLOGY, CLINICAL - SSCI",PSYCHOLOGY - SCIE
PSYCHOLOGICAL ASSESSMENT,https://www.apa.org/pubs/journals/pas/,https://www.apa.org/pubs/journals/pas/,https://www.apa.org/pubs/journals/pas/,TRUE,TRUE,AW,TEH,NA,https://osf.io/8w2vc,https://osf.io/8w2vc,NA,NA,1040-3590,1939-134X,18716,6.083,Q1,1.64,"PSYCHOLOGY, CLINICAL - SSCI","PSYCHOLOGY, CLINICAL"
CHILD DEVELOPMENT PERSPECTIVES,https://srcd.onlinelibrary.wiley.com/journal/17508606,https://srcd.onlinelibrary.wiley.com/hub/journal/17508606/productinformation.html,https://srcd.onlinelibrary.wiley.com/hub/journal/17508606/forauthors.html,TRUE,FALSE,AW,NA,NA,https://osf.io/986j5,https://osf.io/f3mjt,NA,NA,1750-8592,1750-8606,4773,6.16,Q1,1.9,"PSYCHOLOGY, DEVELOPMENTAL - SSCI","PSYCHOLOGY, DEVELOPMENTAL"
APPLIED DEVELOPMENTAL SCIENCE,https://www.tandfonline.com/journals/hads20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=hads20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=hads20,TRUE,TRUE,AW,SV,NA,https://osf.io/hz9tb,https://osf.io/wxrq7,NA,NA,1088-8691,1532-480X,1984,5.5,Q1,1.18,"PSYCHOLOGY, DEVELOPMENTAL - SSCI","PSYCHOLOGY, DEVELOPMENTAL"
CHILD DEVELOPMENT,https://srcd.onlinelibrary.wiley.com/journal/14678624,https://srcd.onlinelibrary.wiley.com/hub/journal/14678624/productinformation.html,https://srcd.onlinelibrary.wiley.com/hub/journal/14678624/forauthors.html,TRUE,TRUE,AW,SV,NA,https://osf.io/zg2yx,https://osf.io/w236t,NA,NA,0009-3920,1467-8624,39464,5.661,Q1,1.87,"PSYCHOLOGY, DEVELOPMENTAL - SSCI; PSYCHOLOGY, EDUCATIONAL - SSCI","PSYCHOLOGY, DEVELOPMENTAL"
JOURNAL OF SCHOOL PSYCHOLOGY,https://www.sciencedirect.com/journal/journal-of-school-psychology,https://www.sciencedirect.com/journal/journal-of-school-psychology/about/aims-and-scope,https://www.elsevier.com/journals/journal-of-school-psychology/0022-4405/guide-for-authors,TRUE,TRUE,AW,RT,NA,https://osf.io/uqv5r,https://osf.io/qy8nm,NA,NA,0022-4405,1873-3506,4939,6.033,Q1,1.56,"PSYCHOLOGY, EDUCATIONAL - SSCI","PSYCHOLOGY, EDUCATIONAL"
BODY IMAGE,https://www.sciencedirect.com/journal/body-image,https://www.sciencedirect.com/journal/body-image/about/aims-and-scope,https://www.elsevier.com/journals/body-image/1740-1445/guide-for-authors,TRUE,TRUE,AW,RT,NA,https://osf.io/5ge6s,https://osf.io/rh63u,NA,NA,1740-1445,1873-6807,6788,5.58,Q1,1.64,"PSYCHOLOGY, CLINICAL - SSCI; PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, CLINICAL"
JOURNAL OF ADOLESCENT HEALTH,https://www.jahonline.org/,https://www.jahonline.org/content/aims,https://www.jahonline.org/content/authorinfo,TRUE,TRUE,AW,TEH,NA,https://osf.io/h3gfv,https://osf.io/tvmz2,NA,NA,1054-139X,1879-1972,23158,7.898,Q1,1.91,"PSYCHOLOGY, DEVELOPMENTAL - SSCI","PSYCHOLOGY, DEVELOPMENTAL"
WORK AND STRESS,https://www.tandfonline.com/journals/twst20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=twst20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=twst20,TRUE,TRUE,AW,RT,NA,https://osf.io/29xm7,https://osf.io/qe6c9,NA,NA,0267-8373,1464-5335,4860,7.358,Q1,1.57,"PSYCHOLOGY, APPLIED - SSCI","PSYCHOLOGY, APPLIED"
PSYCHOLOGICAL INQUIRY,https://www.tandfonline.com/journals/hpli20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=hpli20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=hpli20,TRUE,FALSE,AW,NA,NA,https://osf.io/axzwb,https://osf.io/n7b4m,NA,NA,1047-840X,1532-7965,7168,5.581,Q1,1.22,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","PSYCHOLOGY, MULTIDISCIPLINARY"
JOURNAL OF THE LEARNING SCIENCES,https://www.tandfonline.com/journals/hlns20,https://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=hlns20,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=hlns20,TRUE,TRUE,AW,SV,NA,https://osf.io/ucdkb,https://osf.io/mz9p8,NA,NA,1050-8406,1532-7809,3249,6.083,Q1,2.32,"PSYCHOLOGY, EDUCATIONAL - SSCI","PSYCHOLOGY, EDUCATIONAL"
