"Anything additional, unusual, or interesting to note?",Timestamp,Coder's Initials,Journal Name,Does the journal publish empirical research?,Check the article types page and check for web comments — does the journal offer any type of PPC?,A. Enter the name of the PPC type offered by the journal:,A. Enter the verbatim description of this type of PPC provided by the journal,A. Are there any length limits for this type of PPC?,A. Are there any time limits for submission of this type of PPC?,A. Are there any reference limits for this type of PPC?,A. Is this type of PPC sent for independent external peer review?,"A. Anything additional, unusual, or interesting to note?",A. Are there any other types of PPC in this journal? (Remember to check for web comments!),B. Enter the name of the PPC type offered by the journal:,B. Enter the verbatim description of this type of PPC provided by the journal,B. Are there any length limits for this type of PPC?,B. Are there any time limits for submission of this type of PPC?,B. Are there any reference limits for this type of PPC?,B. Is this type of PPC sent for independent external peer review?,"B. Anything additional, unusual, or interesting to note?",B. Are there any other types of PPC in this journal? (Remember to check for web comments!),C. Enter the name of the PPC type offered by the journal:,C. Enter the verbatim description of this type of PPC provided by the journal,C. Are there any length limits for this type of PPC?,C. Are there any time limits for submission of this type of PPC?,C. Are there any reference limits for this type of PPC?,C. Is this type of PPC sent for independent external peer review?,"C. Anything additional, unusual, or interesting to note?",C. Are there any other types of PPC in this journal? (Remember to check for web comments!),D. Enter the name of the PPC type offered by the journal:,D. Enter the verbatim description of this type of PPC provided by the journal,D. Are there any length limits for this type of PPC?,D. Are there any time limits for submission of this type of PPC?,D. Are there any reference limits for this type of PPC?,D. Is this type of PPC sent for independent external peer review?,"D. Anything additional, unusual, or interesting to note?",...38,...39,...40,...41,...42,...43,...44,...45,sample_id,cope,field,jif
NA,7/11/2023 12:01:43,AW,JOURNAL OF COUPLE & RELATIONSHIP THERAPY-INNOVATIONS IN CLINICAL AND EDUCATIONAL INTERVENTIONS,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Clinical",NA
NA,NA,FINAL (TEH),JOURNAL OF COUPLE & RELATIONSHIP THERAPY-INNOVATIONS IN CLINICAL AND EDUCATIONAL INTERVENTIONS,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Clinical",NA
NA,7/10/2023 17:22:53,AW,JOURNAL OF DUAL DIAGNOSIS,Yes,YES,letters to the editors,na,NOT STATED,NOT STATED,NOT STATED,NOT STATED,"Listed as accepted but no further information given. No examples found during archive search. 

NOTE: ""thought-provoking commentaries"" also listed as accepted but have NOT included them as description implies more general in nature and no PPC examples during archive search (2019-2023) using term ""comment"".",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Clinical",2.324
NA,7/28/2023 12:17:32,TEH,JOURNAL OF DUAL DIAGNOSIS,Yes,YES,Letters to the editor,No description,NOT STATED,NOT STATED,NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Clinical",2.324
NA,NA,FINAL (TEH),JOURNAL OF DUAL DIAGNOSIS,Yes,YES,Letters to the editor,No description,NOT STATED,NOT STATED,NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Clinical",2.324
NA,7/13/2023 12:40:42,AW,JOURNAL OF EXPERIMENTAL EDUCATION,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",1.762
NA,8/8/2023 15:42:44,SV,JOURNAL OF EXPERIMENTAL EDUCATION,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",1.762
NA,NA,FINAL (TEH),JOURNAL OF EXPERIMENTAL EDUCATION,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",1.762
Not listed. Only found through archive search,7/11/2023 19:13:11,AW,JOURNAL OF GAMBLING STUDIES,Yes,YES,Commentary,na,NOT STATED,NOT STATED,NOT STATED,NOT STATED,Recent presumed PPC example: https://doi.org/10.1007/s10899-022-10168-w,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",3.396
"Same boiler plate Springer text. But I'm not convinced that means this specific journal actually offer those article types. ""Research articles and non-research articles (e.g. Opinion, Review, and Commentary articles)"" ... ""other article types such as editorials, book reviews, comments (amongst others)""",8/6/2023 4:11:40,RTT,JOURNAL OF GAMBLING STUDIES,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",3.396
NA,NA,FINAL (TEH),JOURNAL OF GAMBLING STUDIES,Yes,ARCHIVE ONLY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",3.396
NA,7/15/2023 20:08:12,NM,JOURNAL OF HEALTH PSYCHOLOGY,Yes,YES,Open peer commentaries,Open peer commentaries on recent articles in this journal or topical issues,"YES (copy and paste the limits in the 'other' section below), up to 2,000 words counting 500 words per table and figure","YES (provide detail of time limits below), recent",NOT STATED,"UNCLEAR (provide detail in the 'other' section below), There is a peer review process but it is unclear if commentaries are included",NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Clinical",3.789
NA,8/4/2023 7:16:19,RTT,JOURNAL OF HEALTH PSYCHOLOGY,Yes,YES,Open peer commentaries,"Open peer commentaries on recent articles in this journal or topical issues (up to 2,000 words counting 500 words per table and figure).","YES (copy and paste the limits in the 'other' section below), up to 2,000 words counting 500 words per table and figure",NOT STATED,NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Clinical",3.789
NA,NA,FINAL (TEH),JOURNAL OF HEALTH PSYCHOLOGY,Yes,YES,Open peer commentaries,Open peer commentaries on recent articles in this journal or topical issues,"YES (copy and paste the limits in the 'other' section below), up to 2,000 words counting 500 words per table and figure","YES (provide detail of time limits below), recent",NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Clinical",3.789
NA,7/13/2023 15:14:53,AW,JOURNAL OF LITERACY RESEARCH,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",2.551
NA,8/29/2023 16:14:16,SV,JOURNAL OF LITERACY RESEARCH,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",2.551
NA,NA,FINAL (TEH),JOURNAL OF LITERACY RESEARCH,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Educational",2.551
NA,7/15/2023 18:41:00,NM,JOURNAL OF MEDIA PSYCHOLOGY-THEORIES METHODS AND APPLICATIONS,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Multidisciplinary",2.31
"There is an article type for replications (""Replication reports""), but I judged that this doesn't meet our definition of PPC.",8/8/2023 15:23:03,SV,JOURNAL OF MEDIA PSYCHOLOGY-THEORIES METHODS AND APPLICATIONS,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Multidisciplinary",2.31
NA,NA,FINAL (TEH),JOURNAL OF MEDIA PSYCHOLOGY-THEORIES METHODS AND APPLICATIONS,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Multidisciplinary",2.31
NA,7/11/2023 15:50:04,AW,JOURNAL OF MOTOR LEARNING AND DEVELOPMENT,Yes,YES,Letter to the Editor,na,"YES (copy and paste the limits in the 'other' section below), 5 pages",NOT STATED,NOT STATED,NOT STATED,"Do not have full journal access, yet viewing free access articles suggests no web comment function available. Possibly available for subscribers but not otherwise indicated.",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Development",NA
NA,8/29/2023 15:54:51,SV,JOURNAL OF MOTOR LEARNING AND DEVELOPMENT,Yes,YES,Letter to the editor,Letter to the Editor: 5 pages,"YES (copy and paste the limits in the 'other' section below), 5 pages",NOT STATED,NOT STATED,NOT STATED,Not clear this is for PPC,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unclear,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Development",NA
NA,NA,FINAL (TEH),JOURNAL OF MOTOR LEARNING AND DEVELOPMENT,Yes,YES,Letter to the editor,Letter to the Editor: 5 pages,"YES (copy and paste the limits in the 'other' section below), 5 pages",NOT STATED,NOT STATED,NOT STATED,Not clear this is for PPC,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unclear,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Development",NA
NA,7/10/2023 17:28:04,AW,JOURNAL OF PERSONNEL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Applied",1.625
NA,8/8/2023 15:55:58,SV,JOURNAL OF PERSONNEL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Applied",1.625
NA,NA,FINAL (TEH),JOURNAL OF PERSONNEL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Applied",1.625
NA,7/12/2023 16:44:20,AW,JOURNAL OF PSYCHOLOGY AND THEOLOGY,Yes,YES,na,Responses to current or past journal articles.,NOT STATED,NOT STATED,NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",0.8
NA,8/29/2023 16:11:20,SV,JOURNAL OF PSYCHOLOGY AND THEOLOGY,Yes,YES,Responses to current or past journal articles.,Responses to current or past journal articles. (no other description),NOT STATED,NOT STATED,NOT STATED,NOT STATED,Unclear if this is PPC,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unclear,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",0.8
NA,NA,FINAL (TEH),JOURNAL OF PSYCHOLOGY AND THEOLOGY,Yes,YES,Responses,Responses to current or past journal articles.,NOT STATED,NOT STATED,NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",0.8
NA,6/28/2023 12:30:32,NM,JOURNAL OF REPRODUCTIVE AND INFANT PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",3.207
NA,7/28/2023 11:33:50,TEH,JOURNAL OF REPRODUCTIVE AND INFANT PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",3.207
NA,NA,FINAL (TEH),JOURNAL OF REPRODUCTIVE AND INFANT PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",3.207
NA,7/11/2023 12:58:24,AW,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Clinical",1.844
NA,8/4/2023 8:39:02,RTT,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Clinical",1.844
NA,NA,FINAL (TEH),JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Clinical",1.844
"I'm unsure about this PPC. On the About page it says that the journal publishes ""dialogue on published articles"" but I couldn't find any further information about this. I might be wrong to code this as PPC.",7/27/2023 11:57:55,NM,JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,Yes,YES,Dialogue on published articles,Dialogue on published articles,NOT STATED,NOT STATED,NOT STATED,NOT STATED,"I might be wrong to code this as PPC. I couldn't find detail about it, or examples.",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,Psychology | Sport,2.597
NA,7/28/2023 11:54:16,TEH,JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,Psychology | Sport,2.597
NA,NA,FINAL (TEH),JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,Psychology | Sport,2.597
NA,7/11/2023 15:02:36,AW,JOURNAL OF SPORT PSYCHOLOGY IN ACTION,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Applied",NA
NA,NA,FINAL (TEH),JOURNAL OF SPORT PSYCHOLOGY IN ACTION,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Applied",NA
"UNCLEAR, scope includes statement ""...to facilitate and stimulate informed academic dialogue and debate toward an integrative body of knowledge via both relevant and rigorous theory-building and theory-testing"" but limited details given on article types and no PPC examples found during archive search.",7/6/2023 15:25:06,AW,JOURNAL OF TRUST RESEARCH,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Social",NA
NA,8/4/2023 7:50:20,RTT,JOURNAL OF TRUST RESEARCH,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Social",NA
NA,NA,FINAL (TEH),JOURNAL OF TRUST RESEARCH,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Social",NA
NA,7/11/2023 22:54:57,NM,MEMORY & COGNITION,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Experimental",2.482
NA,8/8/2023 15:12:53,SV,MEMORY & COGNITION,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Experimental",2.482
NA,NA,FINAL (TEH),MEMORY & COGNITION,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Experimental",2.482
NA,7/6/2023 15:55:18,AW,NEUROPSYCHOLOGICAL TRENDS,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,Psychology,NA
NA,8/8/2023 15:54:53,SV,NEUROPSYCHOLOGICAL TRENDS,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,Psychology,NA
NA,NA,FINAL (TEH),NEUROPSYCHOLOGICAL TRENDS,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,Psychology,NA
NA,7/11/2023 17:39:39,AW,NEW IDEAS IN PSYCHOLOGY,Yes,YES,brief peer commentaries or rebuttals,"In addition to full-length articles on matters of theory or method, we publish briefer discussion papers and interviews, and brief peer commentaries or rebuttals.",NOT STATED,NOT STATED,NOT STATED,NOT STATED,"No further elaboration given on commentaries or rebuttals, but wording suggests PPC accepted (no examples found in archive search (2019-2023) but journal does not publish many empirical research papers).",NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",2.927
NA,8/29/2023 16:03:00,SV,NEW IDEAS IN PSYCHOLOGY,Yes,YES,brief peer commentaries or rebuttals,brief peer commentaries or rebuttals (no other description),"YES (copy and paste the limits in the 'other' section below),  Rebuttals and peer commentaries should not exceed 1000 words. Exceptions to these length guidelines can be granted in special cases.",NOT STATED,NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The journal does not publish primarily empirical papers, but ""Empirical papers are
accepted at New Ideas in Psychology, but only as long as they focus on conceptual issues and are theoretically creative.""",NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",2.927
NA,NA,FINAL (TEH),NEW IDEAS IN PSYCHOLOGY,Yes,YES,brief peer commentaries or rebuttals,brief peer commentaries or rebuttals (no other description),"YES (copy and paste the limits in the 'other' section below),  Rebuttals and peer commentaries should not exceed 1000 words. Exceptions to these length guidelines can be granted in special cases.",NOT STATED,NOT STATED,NOT STATED,NA,NO (submits form),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The journal does not publish primarily empirical papers, but ""Empirical papers are
accepted at New Ideas in Psychology, but only as long as they focus on conceptual issues and are theoretically creative.""",NA,NA,NA,NA,NA,NA,NA,random,TRUE,"Psychology, Multidisciplinary",2.927
NA,7/15/2023 19:47:29,NM,NONLINEAR DYNAMICS PSYCHOLOGY AND LIFE SCIENCES,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Mathematical",1.068
NA,7/28/2023 11:39:06,TEH,NONLINEAR DYNAMICS PSYCHOLOGY AND LIFE SCIENCES,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Mathematical",1.068
NA,NA,FINAL (TEH),NONLINEAR DYNAMICS PSYCHOLOGY AND LIFE SCIENCES,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Mathematical",1.068
NA,7/11/2023 23:10:24,NM,NORDIC PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Multidisciplinary",1.208
NA,8/8/2023 15:16:10,SV,NORDIC PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Multidisciplinary",1.208
NA,NA,FINAL (TEH),NORDIC PSYCHOLOGY,Yes,NO (there are no PPC options),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,FALSE,"Psychology, Multidisciplinary",1.208
