link,title,authors,journal,publication_year,id
10.1080/23279095.2020.1807348,Psychometric assessment of social cognitive tasks,"Gourlay, Catherine; Collin, Pascal; Caron, Pier-Olivier; D'Auteuil, Camille; Scherzer, Peter B.",APPLIED NEUROPSYCHOLOGY-ADULT,2022,115
10.1002/cad.20367,Sector-wide analysis of early childhood development and education in emergencies in Colombia and considerations to strengthen systems globally,"Ponguta, Liliana Angelica; Aragon, Carlos Andres; Varela, Lucero Ramirez; Moore, Kathryn; Hein, Sascha; Cerezo, Adrian",New Directions for Child and Adolescent Development,2020,116
10.1080/10474412.2020.1777873,Disproportionality in School Discipline and Juvenile Justice Systems: The Past and Future Role of Psychological Consultation to Promote Equity,"Sander, Janay B.; Bibbs, Deidra L.",JOURNAL OF EDUCATIONAL AND PSYCHOLOGICAL CONSULTATION,2020,117
10.1080/20008198.2020.1748460,The influence of depression-PTSD comorbidity on health-related quality of life in treatment-seeking veterans,"Forchuk, Callista; Nazarov, Anthony; Hunt, Renee; Davis, Brent; St Cyr, Kate; Richardson, J. Don",EUROPEAN JOURNAL OF PSYCHOTRAUMATOLOGY,2020,118
10.1016/j.cortex.2020.02.022,Familiarity for entities as a sensitive marker of antero-lateral entorhinal atrophy in amnestic mild cognitive impairment,"Besson, Gabriel; Simon, Jessica; Salmon, Eric; Bastin, Christine",CORTEX,2020,119
10.1037/mot0000160,Implicit Theories of Interest Regulation,"Thoman, Dustin B.; Sansone, Carol; Robinson, Jennifer A.; Helm, Jonathan L.",MOTIVATION SCIENCE,2020,120
10.3389/fpsyg.2020.584473,Determinants of the Financial Contribution to the NHS: The Case of the COVID-19 Emergency in Italy,"Castiglioni, Cinzia; Lozza, Edoardo",FRONTIERS IN PSYCHOLOGY,2020,121
10.1007/s10964-020-01231-z,"Family Context and Adolescent Risky Sexual Behavior: an Examination of the Influence of Family Structure, Family Transitions and Parenting","Steele, Megan E.; Simons, Leslie Gordon; Sutton, Tara E.; Gibbons, Frederick X.",JOURNAL OF YOUTH AND ADOLESCENCE,2020,122
10.1002/imhj.21847,Expulsion prevention: Framework for the role of infant and early childhood mental health consultation in addressing implicit biases,"Davis, Annie E.; Perry, Deborah F.; Rabinovitz, Lauren",INFANT MENTAL HEALTH JOURNAL,2020,123
NA,Efficacy of an evidence-based literacy intervention for Spanish speaking struggling readers from vulnerable socio-economic status,"Balbi, Alejandra; von Hagen, Alexa; Jimenez, Juan E.; Cuadro, Ariel",ELECTRONIC JOURNAL OF RESEARCH IN EDUCATIONAL PSYCHOLOGY,2020,124
10.1177/1550059420918756,Quantitative EEG Findings in Patients With Psychogenic Nonepileptic Seizures,"Arikan, Kemal; Oksuz, Ozden; Metin, Baris; Gunver, Guven; Cetin, Hamide Lacin; Esmeray, Taha; Tarhan, Nevzat",CLINICAL EEG AND NEUROSCIENCE,2021,125
10.1016/j.nlm.2020.107271,Hippocampal and anterior cingulate cortex contribution to the processing of recently-acquired and remotely stored spatial memories in rats trained during preadolescence,"Tzakis, Nikolaos; Bosnic, Tim; Holahan, Matthew R.",NEUROBIOLOGY OF LEARNING AND MEMORY,2020,126
10.1002/pon.5333,Symptoms of prolonged grief and major depressive disorders: Distinctiveness and temporal relationship in the first 2 years of bereavement for family caregivers of terminally ill cancer patients,"Tsai, Wei-, I; Wen, Fur-Hsing; Kuo, Su-Ching; Prigerson, Holly G.; Chou, Wen-Chi; Shen, Wen-Chi; Tang, Siew Tzuh",PSYCHO-ONCOLOGY,2020,127
10.1016/j.cognition.2020.104270,Why are social interactions found quickly in visual search tasks?,"Vestner, Tim; Gray, Katie L. H.; Cook, Richard",COGNITION,2020,128
10.1016/j.physbeh.2020.112972,Running power meters and theoretical models based on laws of physics: Effects of environments and running conditions,"Cerezuela-Espejo, Victor; Hernandez-Belmonte, Alejandro; Courel-Ibanez, Javier; Conesa-Ros, Elena; Martinez-Cava, Alejandro; Pallares, Jesus G.",PHYSIOLOGY & BEHAVIOR,2020,129
10.1002/capr.12296,Integrating clients' moment-to-moment ratings into psychotherapy research: A novel approach,"Penix, Elizabeth A.; Swift, Joshua K.; Trusty, Wilson T.",COUNSELLING & PSYCHOTHERAPY RESEARCH,2020,130
10.1080/00223891.2020.1743709,BIS and BAS Sensitivities at Different Levels of Personality Description: A Latent-Variable Approach with Self- and Informant-Ratings,"Vecchione, Michele; Ghezzi, Valerio; Alessandri, Guido; Dentale, Francesco; Corr, Philip J.",JOURNAL OF PERSONALITY ASSESSMENT,2021,131
10.3758/s13414-020-02119-7,Proprioceptive drift is affected by the intermanual distance rather than the distance from the body's midline in the rubber hand illusion,"Erro, Roberto; Marotta, Angela; Fiorio, Mirta",ATTENTION PERCEPTION & PSYCHOPHYSICS,2020,132
10.1080/00223891.2020.1813147,Examining the Factor Structure and Validity of the Multidimensional Assessment of Interoceptive Awareness,"Ferentzi, Eszter; Olaru, Gabriel; Geiger, Mattis; Vig, Luca; Koteles, Ferenc; Wilhelm, Oliver",JOURNAL OF PERSONALITY ASSESSMENT,2021,133
10.1007/s10802-020-00684-x,"The Structure of Psychopathology in a Sample of Clinically Referred, Emotionally Dysregulated Early Adolescents","Vine, Vera; Byrd, Amy L.; Mohr, Harmony; Scott, Lori N.; Beeney, Joseph E.; Stepp, Stephanie D.",JOURNAL OF ABNORMAL CHILD PSYCHOLOGY,2020,134
10.1080/0092623X.2020.1766612,Do women's Relationship Satisfaction and Sexual Functioning Vary as a Function of Their Male Partners' Premature Ejaculation Symptoms?,"Jern, Patrick; Sola, Ida-Maria; Ventus, Daniel",JOURNAL OF SEX & MARITAL THERAPY,2020,135
10.1111/josi.12402,Embodied relational praxis in intersectional organizing: Developing intersectional solidarity,"Ellison, Erin Rose; Langhout, Regina Day",JOURNAL OF SOCIAL ISSUES,2020,136
10.1080/24720038.2020.1811284,Response to Jill Gardner's Discussion of Interpretation as a Carrier of Selfobject Functions,"Geist, Richard A.",PSYCHOANALYSIS SELF AND CONTEXT,2020,137
10.1080/1047840X.2020.1722578,Ordinary Claims Require Ordinary Evidence: A Lack of Direct Support for Equalitarian Bias in the Social Sciences,"Lai, Calvin K.",PSYCHOLOGICAL INQUIRY,2020,138
10.1080/00223891.2019.1565573,Deprived and Grandiose Explanations for Psychological Entitlement: Implications for Theory and Measurement,"Hart, William; Tortoriello, Gregory K.; Richardson, Kyle",JOURNAL OF PERSONALITY ASSESSMENT,2020,139
10.1002/dev.21952,Prenatal maternal hair cortisol concentrations are related to maternal prenatal emotion dysregulation but not neurodevelopmental or birth outcomes,"Conradt, Elisabeth; Shakiba, Nila; Ostlund, Brendan; Terrell, Sarah; Kaliush, Parisa; Shakib, Julie H.; Crowell, Sheila E.",DEVELOPMENTAL PSYCHOBIOLOGY,2020,140
10.1002/jaba.768,Editor's Note: Societal changes and expression of concern about Rekers and Lovaas' (1974) Behavioral Treatment of DeviantSex-RoleBehaviors in a Male Child,"LeBlanc, Linda A.",JOURNAL OF APPLIED BEHAVIOR ANALYSIS,2020,141
10.1684/pnv.2020.0857,The role of the old age psychiatrist in a mobile geriatric team: an example in Tours city area (France),"Nkodo, Jacques-Alexis; Dubnitskiy-Robin, Sophie; Debacq, Camille; Desmidt, Thomas; Mennecart, Marc; Camus, Vincent; Fougere, Bertrand",GERIATRIE ET PSYCHOLOGIE NEUROPSYCHIATRIE DE VIEILLISSEMENT,2020,142
10.1177/1046878120972741,A Community Pediatric Camp Escape Room: An Interactive Approach to Applying Real-Life Critical Thinking Skills,"Spears, Syretta; Diaz, Gabriel M.; Diaz, Desiree A.",SIMULATION & GAMING,2021,143
10.1080/14779757.2020.1846598,Implicit association between proximity and negative representation in the structure-bound manner,"Takasawa, Keiji; Ito, Yoshimi; Suetake, Yasuhiro",PERSON-CENTERED AND EXPERIENTIAL PSYCHOTHERAPIES,2021,144
10.1002/pon.5543,Negative affect and the utilization of tobacco treatment among adult smokers with cancer,"Lee, Juhan; Cheong, JeeWon; Markham, Merry Jennifer; Lam, Jillian; Warren, Graham W.; Salloum, Ramzi G.",PSYCHO-ONCOLOGY,2021,145
10.3389/fnhum.2020.00202,Hemispheric Differences in Functional Interactions Between the Dorsal Lateral Prefrontal Cortex and Ipsilateral Motor Cortex,"Wang, Yanqiu; Cao, Na; Lin, Yitong; Chen, Robert; Zhang, Jian",FRONTIERS IN HUMAN NEUROSCIENCE,2020,146
10.1002/ijop.12593,Self-regulation foci and mood affect healthy and unhealthy eating behaviours differently in successful weight-loss treatment participants,"Annesi, James J.",INTERNATIONAL JOURNAL OF PSYCHOLOGY,2020,147
10.1002/jclp.23056,The role of negative cognitions in co-occurring posttraumatic stress disorder and depression: Examination of interpersonal and noninterpersonal trauma survivors,"Majeed, Rimsha; Lipinski, Alexandra J.; Free, Bre'Anna L.; Lewin, Rivian K.; Beck, J. Gayle",JOURNAL OF CLINICAL PSYCHOLOGY,2021,148
10.1016/j.jrp.2019.103908,"The association between adverse childhood experiences and personality, emotions and affect: Does number and type of experiences matter?","Grusnick, Jessica M.; Garacci, Emma; Eiler, Christian; Williams, Joni S.; Egede, Leonard E.",JOURNAL OF RESEARCH IN PERSONALITY,2020,149
10.1080/09602011.2020.1738248,"Successful return to professional work after neglect, extinction, and spatial misperception - Three long-term case studies","Kerkhoff, Georg",NEUROPSYCHOLOGICAL REHABILITATION,2021,150
10.1177/1747954120976966,Evaluating the impact of a coach development intervention for improving coaching practices and player outcomes in netball: The MASTER coaching randomized control trial,"Eather, Narelle; Miller, Andrew; Jones, Brad; Morgan, Philip J.",INTERNATIONAL JOURNAL OF SPORTS SCIENCE & COACHING,2021,151
10.1016/j.trf.2020.01.016,Assessing the driving distraction effect of vehicle HMI displays using data mining techniques,"Ma, Jun; Gong, Zaiyan; Tan, Jianjie; Zhang, Qianwen; Zuo, Yuanyang",TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,2020,152
10.1002/jeab.646,Transfer of conditioned fear and avoidance: Concurrent measurement of arousal and operant responding,"Rodriguez-Valverde, Miguel; Luciano, Carmen; Barnes-Holmes, Dermot; Hernandez-Lopez, Monica",JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR,2021,153
10.1002/capr.12351,"Situational analysis mapping for transformative thinking, conceptualisation and dialogues in counselling practice","Mudry, Tanya E.; Vegter, Vanessa; Strong, Tom",COUNSELLING & PSYCHOTHERAPY RESEARCH,2021,154
10.1016/j.beproc.2020.104194,Time budget seasonal variations in semi-captive pampas deer (Ozotoceros bezoarticus) females,"Aniano, Lucia; Ungerfeld, Rodolfo",BEHAVIOURAL PROCESSES,2020,155
10.1017/S1754470X20000446,A preliminary study of group therapy intervention for bipolar disorder based on the integrative cognitive model,"Mackali, Zeynep; Guneri, Gulin; Korkmaz, Ann; Cakir, Sibel",COGNITIVE BEHAVIOUR THERAPIST,2020,156
10.1016/j.jrp.2019.103900,Authenticity and subjective well-being: The mediating role of mindfulness,"Zheng, Shaofeng; Sun, Shasha; Huang, Cheng; Zou, Zhimin",JOURNAL OF RESEARCH IN PERSONALITY,2020,157
10.1017/S0954579419001408,Early experiences of insensitive caregiving and children's self-regulation: Vagal tone as a differential susceptibility factor,"Skibo, Michael A.; Sturge-Apple, Melissa L.; Suor, Jennifer H.",DEVELOPMENT AND PSYCHOPATHOLOGY,2020,158
10.1007/s11336-020-09695-5,"Editorial, Spring 2020","von Davier, Matthias; Ip, Edward",PSYCHOMETRIKA,2020,159
10.1016/j.chb.2020.106293,Virtual reality as a platform for research in gambling behaviour,"Dickinson, Patrick; Gerling, Kathrin; Wilson, Liam; Parke, Adrian",COMPUTERS IN HUMAN BEHAVIOR,2020,160
10.4081/hpr.2020.8207,Technophobia as emerging risk factor in aging: Investigation on computer anxiety dimension,"Di Giacomo, Dina; Guerra, Federica; Perilli, Enrico; Ranieri, Jessica",HEALTH PSYCHOLOGY RESEARCH,2020,161
10.1080/1068316X.2019.1708359,"The role of ulterior motives, inconsistencies, and details in unreliable jailhouse informant testimony","DeLoach, Danielle K.; Neuschatz, Jeffrey S.; Wetmore, Stacy A.; Bornstein, Brian H.",PSYCHOLOGY CRIME & LAW,2020,162
10.1017/ipm.2019.28,Establishing and evaluating a Balint group for fourth-year medical students at an Irish University,"McManus, Sorcha; Killeen, David; Hartnett, Yvonne; Fitzgerald, Gearoid; Murphy, Kieran C.",IRISH JOURNAL OF PSYCHOLOGICAL MEDICINE,2020,163
10.1111/bjep.12383,Social interaction and gender as factors affecting the trajectories of children's engagement and hyperactive behaviour in preschool,"Sjoman, Madeleine; Granlund, Mats; Axelsson, Anna Karin; Almqvist, Lena; Danielsson, Henrik",BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY,2021,164
10.1080/17522439.2020.1817138,When reality breaks from us: lived experience wisdom in the Covid-19 era,"Florence, Ana Carolina; Miller, Rebecca; Bellamy, Chyrell; Bernard, Pauline; Bien, Claire; Atterbury, Kendall; Bragg, Cheri; Diaz, Annette; Gardien, Eve; Guy, Kimberly; Hansen, Chris; Maclean, Kirsten; Milton, Barbara; Nelson, Leslie; Samoskevich, Jonathan Jj; Smith, Shannon; Stanojlovic, Milena; Wexler, Thomas; Zorzanelli, Rafaela; Davidson, Larry",PSYCHOSIS-PSYCHOLOGICAL SOCIAL AND INTEGRATIVE APPROACHES,2020,165
10.1080/23279095.2020.1832095,Cognitive reserve attenuates the association between HIV serostatus and cognitive performance in adults living in the deep South,"Pope, Caitlin N.; Fazeli, Pariya L.; Vance, David E.; Mrug, Sylvie; Ball, Karlene K.; Stavrinos, Despina",APPLIED NEUROPSYCHOLOGY-ADULT,2022,166
10.1002/ijop.12616,"The ""Longing for Interpersonal Touch Picture Questionnaire"": Development of a new measurement for touch perception","Bessler, Ria; Bendas, Johanna; Sailer, Uta; Croy, Ilona",INTERNATIONAL JOURNAL OF PSYCHOLOGY,2020,167
10.1111/1467-9817.12299,Home literacy environment and reading comprehension in Spanish primary education,"Guzman-Simon, Fernando; Gil-Flores, Javier; Pacheco-Costa, Alejandra",JOURNAL OF RESEARCH IN READING,2020,168
10.1016/j.visres.2020.05.004,Distinct strategies for estimating the temporal average of numerical and perceptual information,"Sato, Hiromi; Motoyoshi, Isamu",VISION RESEARCH,2020,169
10.1027/1618-3169/a000485,Balancing Between Goal-Directed and Habitual Responding Following Acute Stress,"Hartogsveld, Bart; van Ruitenbeek, Peter; Quaedflieg, Conny W. E. M.; Smeets, Tom",EXPERIMENTAL PSYCHOLOGY,2020,170
10.1007/s40617-020-00483-2,Branching Out: Finding Success in New Areas of Practice,"Alligood, Christina A.; Gravina, Nicole E.",BEHAVIOR ANALYSIS IN PRACTICE,2021,171
10.1080/17405629.2020.1783528,Children's understanding of unintended irony and unsuccessful irony,"Hayashi, Hajimu; Ban, Yoshimi",EUROPEAN JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,2021,172
10.1177/1362361320934214,Short report: Evaluating the safety and usability of head-mounted virtual reality compared to monitor-displayed video for children with autism spectrum disorder,"Malihi, Mahan; Nguyen, Jenny; Cardy, Robyn E.; Eldon, Salina; Petta, Catharine; Kushki, Azadeh",AUTISM,2020,173
10.1093/geronb/gby024,Aging and n-Back Performance: A Meta-Analysis,"Bopp, Kara L.; Verhaeghen, Paul",JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,2020,174
10.1002/jts.22609,The Impact of Hazardous Drinking Among Active Duty Military With Posttraumatic Stress Disorder: Does Cognitive Processing Therapy Format Matter?,"Straud, Casey L.; Dondanville, Katherine A.; Hale, Willie J.; Wachen, Jennifer S.; Mintz, Jim; Litz, Brett T.; Roache, John D.; Yarvis, Jeffrey S.; Young-McCaughan, Stacey; Peterson, Alan L.; Resick, Patricia A.",JOURNAL OF TRAUMATIC STRESS,2021,175
10.1177/1948550619856308,Foodie Calls: When Women Date Men for a Free Meal (Rather Than a Relationship),"Collisson, Brian; Howell, Jennifer L.; Harig, Trista",SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE,2020,176
10.1007/s11469-020-00261-9,Internalizing and Externalizing Problems as Risk Factors for Initiation and Progression of E-cigarette and Combustible Cigarette Use in the US Youth Population,"Buu, Anne; Hu, Yi-Han; Wong, Su-Wei; Lin, Hsien-Chang",INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,2021,177
10.1007/s10803-020-04764-1,Effectiveness of Adaptive Care Plans for Children with Developmental Disabilities During Outpatient Clinic Appointments,"Liddle, Melissa; Sonnentag, Tammy L.",JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS,2021,178
10.24384/6s7r-q077,Learning Experiences for Academic Deans: Implications for Leadership Coaching,"Nadeem, Iftikhar; Garvey, Bob",INTERNATIONAL JOURNAL OF EVIDENCE BASED COACHING & MENTORING,2020,179
10.1080/02699931.2020.1862765,"Awe liberates the feeling that ""my body is mine""","Takano, Ryota; Nomura, Michio",COGNITION & EMOTION,2021,180
10.1080/21622965.2019.1567340,Perceptual inhibition of emotional interference in children,"Zamora, Eliana, V; Introzzi, Isabel; del Valle, Macarena; Vernucci, Santiago; Richard's, Maria M.",APPLIED NEUROPSYCHOLOGY-CHILD,2020,181
10.1177/0886260517689889,Child Maltreatment Typologies and Intimate Partner Violence: Findings From a Danish National Study of Young Adults,"Murphy, Siobhan; Elklit, Ask; Shevlin, Mark",JOURNAL OF INTERPERSONAL VIOLENCE,2020,182
10.1016/j.obhdp.2019.12.001,When leaders ask questions: Can humility premiums buffer the effects of competence penalties?,"Cojuharenco, Irina; Karelaia, Natalia",ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,2020,183
10.1162/jocn_a_01496,Vestibular Stimulation Modulates Neural Correlates of Own-body Mental Imagery,"Klaus, Manuel P.; Wyssen, Gerda C.; Frank, Sebastian M.; Malloni, Wilhelm M.; Greenlee, Mark W.; Mast, Fred W.",JOURNAL OF COGNITIVE NEUROSCIENCE,2020,184
10.1111/apps.12264,Entrepreneurial Coaching: A Two-Dimensional Framework in Context,"Kotte, Silja; Diermann, Isabell; Rosing, Kathrin; Moeller, Heidi",APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,2021,185
10.1080/00332828.2020.1769990,Intimacy and Autism: An Apparent Paradox,"Molinari, Elena",PSYCHOANALYTIC QUARTERLY,2020,186
10.5709/acp-0289-0,"Early Departure, Early Revival: A ""Free From Care"" Account of Negative Temporal Discounting","Sun, Hai-Long; Li, Ai-Mei; Shen, Si-Chu; Xiong, Guan-Xing; Rao, Li-Lin; Zheng, Rui; Sun, Hong-Yue; Li, Shu",ADVANCES IN COGNITIVE PSYCHOLOGY,2020,187
10.1016/j.physbeh.2020.113135,Effect of exercise and grape juice on epigenetic modulation and functional outcomes in PD: A randomized clinical trial,"De Oliveira, Grazielle Silva; Iraci, Lucio; Pinheiro, Gislaine Siqueira; Casal, Marcela Zimmermann; Haas, Aline Nogueira; Pochmann, Daniela; Martinez, Flavia Gomes; Elsner, Viviane; Dani, Caroline",PHYSIOLOGY & BEHAVIOR,2020,188
10.3389/fpsyg.2020.00886,Personality Traits in Marathon Runners and Sedentary Controls With MMPI-2-RF,"Roeh, Astrid; Engel, Rolf R.; Lembeck, Moritz; Pross, Benjamin; Papazova, Irina; Schoenfeld, Julia; Halle, Martin; Falkai, Peter; Scherr, Johannes; Hasan, Alkomiet",FRONTIERS IN PSYCHOLOGY,2020,189
10.1177/1094428119840801,The Development and Construct Validity of a Team Processes Survey Measure,"Mathieu, John E.; Luciano, Margaret M.; D'Innocenzo, Lauren; Klock, Elizabeth A.; LePine, Jeffery A.",ORGANIZATIONAL RESEARCH METHODS,2020,190
10.1177/0098628320979893,Intended and Actual Changes in Study Behaviors in an Introductory and Upper-Level Psychology Course,"Rowell, Shaina F.; Frey, Regina F.; Walck-Shannon, Elise M.",TEACHING OF PSYCHOLOGY,2021,191
10.1016/j.chiabu.2020.104684,Patterns of abuse and effects on psychosocial functioning in Lithuanian adolescents: A latent class analysis approach,"Zelviene, Paulina; Daniunaite, Ieva; Hafstad, Gertrud Sofie; Thoresen, Siri; Truskauskaite-Kuneviciene, Inga; Kazlauskas, Evaldas",CHILD ABUSE & NEGLECT,2020,192
10.1016/j.chb.2019.01.007,Monitoring patterns of social and cognitive student behaviors in online collaborative problem solving assessments,"Scoular, Claire; Care, Esther",COMPUTERS IN HUMAN BEHAVIOR,2020,193
10.1080/23279095.2020.1805745,Assessing numerical reasoning provides insight into financial literacy,"Sunderaraman, Preeti; Barker, Megan; Chapman, Silvia; Cosentino, Stephanie",APPLIED NEUROPSYCHOLOGY-ADULT,2022,194
NA,Are words pre -activated probabilistically during sentence comprehension? Evidence from new data and a Bayesian random -effects meta -analysis using publicly available data,"Nicenboim, Bruno; Vasishth, Shravan; Roesler, Frank",NEUROPSYCHOLOGIA,2020,195
10.1111/desc.12867,Using hippocampal-dependent eyeblink conditioning to predict individual differences in spatial reorientation strategies in 3-to 6-year-olds,"Vieites, Vanessa; Pruden, Shannon M.; Shusterman, Anna; Reeb-Sutherland, Bethany C.",DEVELOPMENTAL SCIENCE,2020,196
10.1007/s10865-020-00169-8,"Anxiety, depression, and opioid misuse among adults with chronic pain: the role of emotion dysregulation","Rogers, Andrew H.; Orr, Michael F.; Shepherd, Justin M.; Bakhshaie, Jafar; Ditre, Joseph W.; Buckner, Julia D.; Zvolensky, Michael J.",JOURNAL OF BEHAVIORAL MEDICINE,2021,197
10.1016/j.jaac.2019.09.035,Editorial: Alcohol and the Developing Brain: What to Expect Next?,"Mackey, Scott",JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,2020,198
10.1097/PSY.0000000000000858,The Effects of Sensory Enrichment After a Laboratory Stressor on Human Skin Barrier Recovery in a Randomized Trial,"Law, Mikaela; Jarrett, Paul; Nater, Urs M.; Skoluda, Nadine; Broadbent, Elizabeth",PSYCHOSOMATIC MEDICINE,2020,199
10.1037/abn0000627,Neuroanatomical Correlates of Impulsive Traits in Children Aged 9 to 10,"Owens, Max M.; Hyatt, Courtland S.; Gray, Joshua C.; Miller, Joshua D.; Lynam, Donald R.; Hahn, Sage; Allgaier, Nicholas; Potter, Alexandra; Garavan, Hugh",JOURNAL OF ABNORMAL PSYCHOLOGY,2020,200
10.1080/87568225.2020.1827114,Symptoms of Anxiety in College Students and the Influence of Social Determinants of Health,"Johnson, Kaprea F.",JOURNAL OF COLLEGE STUDENT PSYCHOTHERAPY,2022,201
10.1080/02702711.2020.1768989,Does the Simple View of Writing Explain L2 Writing Development?: A Meta-Analysis,"Graham, Keith M.; Eslami, Zohreh R.",READING PSYCHOLOGY,2020,202
10.1080/23279095.2020.1803870,Clinical utility of the TOMMe10 scoring criteria for detecting suboptimal effort in an mTBI veteran sample,"Rinaldi, Anthony; Stewart-Willis, Jada J.; Scarisbrick, David; Proctor-Weber, Zoe",APPLIED NEUROPSYCHOLOGY-ADULT,2022,203
10.3389/fnhum.2020.585670,Editorial: Embodying Tool Use: From Cognition to Neurorehabilitation,"Galli, Giulia; Cakmak, Yusuf Ozgur; Babic, Jan; Pazzaglia, Mariella",FRONTIERS IN HUMAN NEUROSCIENCE,2020,204
10.1177/0957926520961631,The co-construction of humor in computer-mediated teacher-student communication,"Moalla, Asma; Ben Amor, Wafa",DISCOURSE & SOCIETY,2021,205
10.1016/j.erap.2020.100560,Discrepancy in internalized values of workers in extreme situations: Consequences for soldiers and risk for the organization,"Dugoin-Clement, Christine; Vaidis, David C.",EUROPEAN REVIEW OF APPLIED PSYCHOLOGY-REVUE EUROPEENNE DE PSYCHOLOGIE APPLIQUEE,2020,206
10.1080/0092623X.2020.1762813,Effectiveness trial of an online self-help intervention for sexual problems after cancer,"Schover, Leslie R.; Strollo, Sara; Stein, Kevin; Fallon, Elizabeth; Smith, Tenbroeck",JOURNAL OF SEX & MARITAL THERAPY,2020,207
10.1007/s00278-020-00402-4,Process-based therapy of body dysmorphic disorder New perspectives for the treatment,"Ritter, Viktoria; Stangier, Ulrich",PSYCHOTHERAPEUT,2020,208
10.1016/j.physbeh.2020.113030,"Variations of estimated maximal aerobic speed in children soccer players and its associations with the accumulated training load: Comparisons between non, low and high responders","Clemente, Filipe Manuel; Silva, Ana Filipa; Alves, Ana Ruivo; Nikolaidis, Pantelis Theodoros; Ramirez-Campillo, Rodrigo; Lima, Ricardo; Sogut, Mustafa; Rosemann, Thomas; Knechtle, Beat",PHYSIOLOGY & BEHAVIOR,2020,209
10.1177/1354067X20922146,From Oldboy to Burning: Han in South Korean films,"Boman, Bjorn",CULTURE & PSYCHOLOGY,2020,210
10.1080/15401383.2020.1856015,Exploring Emotion Requlation in Counselors' Management of Attraction to Clients,"Jacob, Charles J.; Prikhidko, Alena",JOURNAL OF CREATIVITY IN MENTAL HEALTH,2020,211
10.1002/ijop.12546,Relationship between Chinese children's imaginary companions and their understanding of second-order false beliefs and emotions,"Lin, Qiyi; Zhou, Nan; Wan, Yingjia; Fu, Hong",INTERNATIONAL JOURNAL OF PSYCHOLOGY,2020,212
10.1080/10926771.2020.1848950,Recruiting Domestically Violent Fathers and Families for Research: What Does It Take?,"Dyson, Amanda; David, Randal; Scott, Katreena",JOURNAL OF AGGRESSION MALTREATMENT & TRAUMA,2021,213
10.1080/15427609.2020.1852048,"PATTERNS OF FRIENDSHIP SUPPORT AND STRAIN OVER TIME AMONG MARRIED OLDER ADULTS: THE ROLE OF DEMOGRAPHIC, SOCIAL, AND WELL-BEING FACTORS","Ermer, Ashley E.; Kanter, Jeremy B.",RESEARCH IN HUMAN DEVELOPMENT,2020,214
10.1016/bs.aesp.2019.09.003,"Transcending the ""good & bad"" and ""here & now"" in emotion regulation: Costs and benefits of strategies across regulatory stages","Sheppes, Gal",Advances in Experimental Social Psychology,2020,215
10.1163/15685373-12340088,A Case of Sustained Internal Contradiction: Unresolved Ambivalence between Evolution and Creationism,"Metz, S. Emlen; Weisberg, Deena Skolnick; Weisberg, Michael",JOURNAL OF COGNITION AND CULTURE,2020,216
10.1007/s10902-020-00252-6,Styles of Everyday Savoring Differentially Predict Well-being in Adolescents Over One Month,"Chadwick, Erica D.; Jose, Paul E.; Bryant, Fred B.",JOURNAL OF HAPPINESS STUDIES,2021,217
10.1016/j.jadohealth.2020.06.024,The Top Five Improvements for Centers for Disease Control and Prevention's Youth Risk Behavior Surveillance System in 2019,"Tribe, Winnebago",JOURNAL OF ADOLESCENT HEALTH,2020,218
10.1111/psyp.13745,Signal informativeness for sequence structure modulates human auditory cortical responses,"Simal, Amour; Bermudez, Patrick; Lefebvre, Christine; Vachon, Francois; Jolicoeur, Pierre",PSYCHOPHYSIOLOGY,2021,219
10.1080/21622965.2020.1854094,Do cognitive training applications improve executive function in children with adverse childhood experiences? A pilot study,"Spawton-Rice, John Henry; Walker, Zachary",APPLIED NEUROPSYCHOLOGY-CHILD,2022,220
10.1515/humor-2018-0042,The effect of leader humor on employee adaptability,"Chow, Irene Hau-siu",HUMOR-INTERNATIONAL JOURNAL OF HUMOR RESEARCH,2020,221
10.1093/geronb/gbz053,Education and Cognitive Decline: An Integrative Analysis of Global Longitudinal Studies of Cognitive Aging,"Clouston, Sean A. P.; Smith, Dylan M.; Mukherjee, Soumyadeep; Zhang, Yun; Hou, Wei; Link, Bruce G.; Richards, Marcus",JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,2020,222
10.1007/s11145-019-10008-1,Teaching writing in Brazilian public high schools,"Coelho, Raquel",READING AND WRITING,2020,223
